Project,Market Sector,EQS,UGS,FVS,SS,how3 Score,Growth Category,Valuation Category,SS (Rating),UGS dune,EQS dune,Static,Live,Dune Links,Symbol,UserGrowthJSON
CoW DAO,,,,,85.35,,,,A,False,False,True,False,,,"{""name"": ""CoW DAO"", ""sector"": ""Unknown"", ""scores"": {""user_growth"": null, ""growth_category"": null}, ""peers"": [{""name"": ""BENQI Liquid Staked AVAX"", ""scores"": {""user_growth"": null}}, {""name"": ""Entangle"", ""scores"": {""user_growth"": null}}, {""name"": ""Mocaverse"", ""scores"": {""user_growth"": null}}, {""name"": ""OriginTrail"", ""scores"": {""user_growth"": null}}], ""sector_averages"": {""user_growth"": null, ""count"": 0}}"
Coin98,Exchanges (CEX),0.0,,,,,,,,False,False,True,False,,,
Coinally,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
Coinbase Wrapped Staked ETH,Blockchains (L2),64.80864859965831,100.0,,83.04,,Exceptional Growth,,A,False,False,True,False,,,
Coinbase Wrapped Staked ETH,Liquid staking,0.0,,,83.04,,,,A,False,False,True,False,,,
Coinbase Wrapped Staked Ether,Liquid staking,0.0,,,,,,,,False,False,True,False,,,
Coinshift,Stablecoin issuers,0.0,,,,,,,,False,False,True,False,,,
Colony,Infrastructure,0.0,27.851907109496626,50.0,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Compound,Lending,32.43084976560476,79.99756335282652,42.69531250000001,91.56,,Strong Growth,Fairly Valued,AA,False,False,True,False,,,"{""name"": ""Compound"", ""sector"": ""Lending"", ""scores"": {""user_growth"": 79.99756335282652, ""growth_category"": ""Strong Growth""}, ""peers"": [{""name"": ""Aave"", ""scores"": {""user_growth"": 99.07407407407408}}, {""name"": ""Euler"", ""scores"": {""user_growth"": 61.46686159844056}}, {""name"": ""Maple Finance"", ""scores"": {""user_growth"": 63.62573099415204}}, {""name"": ""Morpho"", ""scores"": {""user_growth"": 81.08004385964914}}], ""sector_averages"": {""user_growth"": 53.35, ""count"": 46}}"
Conflux Core Space,Blockchains (L1),0.0,36.4983164983165,5.681818181818182,,,Slow Growth,Overvalued,,False,False,True,False,,,
Conflux Network,Blockchains (L1),0.0,36.4983164983165,5.681818181818182,82.88,,Slow Growth,Overvalued,A,False,False,True,False,,,"{""name"": ""Conflux Network"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 36.4983164983165, ""growth_category"": ""Slow Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
Constellation,,,,,80.81,,,,A,False,False,True,False,,,
Convex Finance,Asset management,52.4706371470804,94.95356793743892,62.767857142857146,85.76,,Exceptional Growth,Fairly Valued,A,False,False,True,False,,cvx,"{""name"": ""Convex Finance"", ""sector"": ""Asset management"", ""scores"": {""user_growth"": 94.95356793743892, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Ondo Finance"", ""scores"": {""user_growth"": 100.0}}, {""name"": ""Yearn Finance"", ""scores"": {""user_growth"": 96.2854349951124}}, {""name"": ""yearn.finance"", ""scores"": {""user_growth"": 96.2854349951124}}, {""name"": ""BadgerDAO"", ""scores"": {""user_growth"": 90.1466275659824}}], ""sector_averages"": {""user_growth"": 54.79, ""count"": 38}}"
Core DAO,,,,,89.14,,,,AA,False,False,True,False,,,
Coreum,Blockchains (L1),0.0,15.151515151515154,,,,Stagnant/Declining,,,False,False,True,False,,,
Cosmos,Blockchains (L1),26.157892238239448,55.0,36.34943181818181,94.25,,Steady Growth,Overvalued,AAA,False,False,True,False,,,"{""name"": ""Cosmos"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 55.0, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
Cosmos Hub,Blockchains (L1),26.157892238239448,55.0,36.34943181818181,,,Steady Growth,Overvalued,,False,False,True,False,,,
Creditcoin,,,,,89.74,,,,AA,False,False,True,False,,,
Cronos,Blockchains (L1),0.0,58.11447811447811,75.9805718475073,92.41,,Steady Growth,Undervalued,AA,False,False,True,False,,,"{""name"": ""Cronos"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 58.11447811447811, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
Crust Network,Blockchains (L2),0.0,47.42116579073102,50.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Cryptex,Asset management,11.430996091177656,59.46396933040078,25.17857142857143,,,Steady Growth,Overvalued,,False,False,True,False,,,
Curve DAO Token,,,,,89.29,,,,AA,False,False,True,False,,,"{""name"": ""Curve DAO Token"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""user_growth"": 80.46152922439074, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""0x"", ""scores"": {""user_growth"": 64.69035460275727}}, {""name"": ""1inch Network"", ""scores"": {""user_growth"": 87.7843015808811}}, {""name"": ""Aerodrome Finance"", ""scores"": {""user_growth"": 88.64047173627264}}, {""name"": ""Ethena"", ""scores"": {""user_growth"": 80.8611946775879}}], ""sector_averages"": {""user_growth"": 52.77, ""count"": 91}}"
Curve DAO Token,Exchanges (DEX),56.84522301549867,80.46152922439074,50.34801136363637,89.29,,Exceptional Growth,Fairly Valued,AA,False,False,True,False,,,"{""name"": ""Curve DAO Token"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""user_growth"": 80.46152922439074, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""0x"", ""scores"": {""user_growth"": 64.69035460275727}}, {""name"": ""1inch Network"", ""scores"": {""user_growth"": 87.7843015808811}}, {""name"": ""Aerodrome Finance"", ""scores"": {""user_growth"": 88.64047173627264}}, {""name"": ""Ethena"", ""scores"": {""user_growth"": 80.8611946775879}}], ""sector_averages"": {""user_growth"": 52.77, ""count"": 91}}"
Curve Stablecoin,,,,,82.46,,,,A,False,False,True,False,,,
Cygnus Finance,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
DFX Finance,Exchanges (DEX),0.0,13.774985674318266,19.375,,,Stagnant/Declining,Overvalued,,False,False,True,False,,,
DIN (ex Web3Go),Infrastructure,0.0,,,,,,,,False,False,True,False,,,
DODO,Exchanges (DEX),47.69027388994144,70.11326768800352,48.14630681818182,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
DOG,Blockchains (L1),0.0,93.93939393939394,31.92082111436949,57.47,,Exceptional Growth,Overvalued,B,False,False,True,False,,,"{""name"": ""DOG"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 93.93939393939394, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
DOG•GO•TO•THE•MOON,,,,,49.86,,,,CC,False,False,True,False,,,
DYORSWAP,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
Dai,,,,,87.34,,,,AA,False,False,True,False,,,
Dai,Infrastructure,0.0,45.902309289050336,50.0,87.34,,Steady Growth,Fairly Valued,AA,False,False,True,False,,,
Darwinia Network,Blockchains (L2),0.0,38.50515437637654,50.0,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Dash,,,,,74.48,,,,BBB,False,False,True,False,,,
DeDust,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
DeFi Saver,Infrastructure,1.949331594535597,,,,,,,,False,False,True,False,,,
DeGate,Exchanges (DEX),0.0,32.55320726733408,45.0,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
DeSo,Blockchains (L1),0.0,25.151515151515152,60.0,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
DeXe Protocol,,,,,85.74,,,,A,False,False,True,False,,,
Decentral Games,Gaming,0.0,32.4400871459695,52.5,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Decentraland,,,,,85.87,,,,A,False,False,True,False,,,
Decred,,,,,69.02,,,,BB,False,False,True,False,,,
DeepBook,,,,,70.31,,,,BB,False,False,True,False,,,
Definitive,Derivative exchanges,0.0,,,,,,,,False,False,True,False,,,
Degen,Blockchains (L3),0.0,0.0,45.0,,,Stagnant/Declining,Fairly Valued,,False,False,True,False,,,
Deri Protocol,Derivative exchanges,,45.48431402341501,23.769841269841272,,,Steady Growth,Overvalued,,False,False,True,False,,,
Derivio,Derivative exchanges,0.0,,,,,,,,False,False,True,False,,,
Destra Network,,,,,76.17,,,,BBB,False,False,True,False,,,
Dexalot,Exchanges (DEX),0.0,53.07007786429366,52.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
DigiByte,,,,,75.13,,,,BBB,False,False,True,False,,,
Dinero,Liquid staking,0.0,8.705882352941178,45.0,,,Stagnant/Declining,Fairly Valued,,False,False,True,False,,,
Dmail Network,Infrastructure,0.0,51.214971458225214,52.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Dogecoin,Blockchains (L1),0.0,93.93939393939394,31.92082111436949,87.83,,Exceptional Growth,Overvalued,AA,False,False,True,False,,,"{""name"": ""Dogecoin"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 93.93939393939394, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
Dohrnii,,,,,80.13,,,,A,False,False,True,False,,,
DojoSwap,Exchanges (DEX),0.0,20.344827586206897,,,,Stagnant/Declining,,,False,False,True,False,,,
Dolomite,Lending,0.0,,,,,,,,False,False,True,False,,,
Dopex,Derivative exchanges,0.0,41.5893696820421,51.85526315789474,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Drift Protocol,Derivative exchanges,0.0,95.91836734693877,,86.6,,Exceptional Growth,,AA,False,False,True,False,,,
Dymension,Blockchains (L1),0.0,65.22727272727272,,,,Strong Growth,,,False,False,True,False,,,
Dypius,Infrastructure,0.0,35.932472755578615,45.0,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
EOS Network,,,,,92.09,,,,AA,False,False,True,False,,,
ERA Name Service,Infrastructure,0.0,16.722560975609756,52.0,,,Stagnant/Declining,Fairly Valued,,False,False,True,False,,,
ERAGON,Gaming,0.0,,,,,,,,False,False,True,False,,,
EYWA,Bridges,0.0,,,,,,,,False,False,True,False,,,
Echelon Market,Lending,0.0,,,,,,,,False,False,True,False,,,
Echelon Prime,Infrastructure,0.0,61.07161390762844,52.0,71.91,,Steady Growth,Fairly Valued,BBB,False,False,True,False,,,
Echelon Prime Foundation,Infrastructure,0.0,61.07161390762844,52.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Echo Protocol,Asset management,0.0,,,,,,,,False,False,True,False,,,
Eclipse,Blockchains (L2),0.0,,,,,,,,False,False,True,False,,,
Econia,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
Efi Hub,Gaming,0.0,,,,,,,,False,False,True,False,,,
Eggs Finance,Asset management,0.0,75.6852394916911,50.0,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
EigenLayer,Liquid staking,0.0,87.64705882352942,55.0,90.03,,Exceptional Growth,Fairly Valued,AA,False,False,True,False,,,
Eigenpie,Liquid staking,0.0,,,,,,,,False,False,True,False,,,
Ekubo Protocol,Exchanges (DEX),0.0,63.189655172413794,,,,Steady Growth,,,False,False,True,False,,,
Element,NFT marketplaces,0.0,,,,,,,,False,False,True,False,,,
Ellipsis Finance,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
Emojicoin.fun,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
Energy Web X,Blockchains (L2),0.0,48.943599954052914,,,,Steady Growth,,,False,False,True,False,,,
Enjin,,,,,91.16,,,,AA,False,False,True,False,,,
Entangle,Stablecoin issuers,28.18419007292008,49.52380952380952,41.80803571428572,73.67,,Steady Growth,Fairly Valued,BBB,False,False,True,False,,,"{""name"": ""Entangle"", ""sector"": ""Unknown"", ""scores"": {""user_growth"": null, ""growth_category"": null}, ""peers"": [{""name"": ""BENQI Liquid Staked AVAX"", ""scores"": {""user_growth"": null}}, {""name"": ""CoW DAO"", ""scores"": {""user_growth"": null}}, {""name"": ""Mocaverse"", ""scores"": {""user_growth"": null}}, {""name"": ""OriginTrail"", ""scores"": {""user_growth"": null}}], ""sector_averages"": {""user_growth"": null, ""count"": 0}}"
Entangle,,,,,73.67,,,,BBB,False,False,True,False,,,"{""name"": ""Entangle"", ""sector"": ""Unknown"", ""scores"": {""user_growth"": null, ""growth_category"": null}, ""peers"": [{""name"": ""BENQI Liquid Staked AVAX"", ""scores"": {""user_growth"": null}}, {""name"": ""CoW DAO"", ""scores"": {""user_growth"": null}}, {""name"": ""Mocaverse"", ""scores"": {""user_growth"": null}}, {""name"": ""OriginTrail"", ""scores"": {""user_growth"": null}}], ""sector_averages"": {""user_growth"": null, ""count"": 0}}"
Enzyme Finance,Asset management,0.0,78.63196480938419,52.0,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Equalizer Exchange,Exchanges (DEX),11.935898594579324,24.451758266761047,92.46969696969695,,,Stagnant/Declining,Undervalued,,False,False,True,False,,,
Ethena,Stablecoin issuers,58.22851700086348,85.625,65.07440476190477,90.55,,Exceptional Growth,Fairly Valued,AA,False,False,True,False,,,"{""name"": ""Ethena"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""user_growth"": 80.8611946775879, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""0x"", ""scores"": {""user_growth"": 64.69035460275727}}, {""name"": ""1inch Network"", ""scores"": {""user_growth"": 87.7843015808811}}, {""name"": ""Aerodrome Finance"", ""scores"": {""user_growth"": 88.64047173627264}}, {""name"": ""Curve DAO Token"", ""scores"": {""user_growth"": 80.46152922439074}}], ""sector_averages"": {""user_growth"": 52.77, ""count"": 91}}"
Ethena,Exchanges (DEX),57.15610750876476,80.8611946775879,76.46969696969697,90.55,,Exceptional Growth,Undervalued,AA,False,False,True,False,,,"{""name"": ""Ethena"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""user_growth"": 80.8611946775879, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""0x"", ""scores"": {""user_growth"": 64.69035460275727}}, {""name"": ""1inch Network"", ""scores"": {""user_growth"": 87.7843015808811}}, {""name"": ""Aerodrome Finance"", ""scores"": {""user_growth"": 88.64047173627264}}, {""name"": ""Curve DAO Token"", ""scores"": {""user_growth"": 80.46152922439074}}], ""sector_averages"": {""user_growth"": 52.77, ""count"": 91}}"
Ether.Fi,Liquid staking,0.0,68.38848039215686,55.0,80.58,,Strong Growth,Fairly Valued,A,False,False,True,False,,,
Ethereum,Blockchains (L1),26.402623193032213,80.74585137085137,62.93269230769231,96.23,,Exceptional Growth,Fairly Valued,AAA,False,False,True,False,,,"{""name"": ""Ethereum"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 80.74585137085137, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
Ethereum Attestation Service,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
Ethereum Classic,,,,,77.53,,,,BBB,False,False,True,False,,,
Ethereum Name Service,Infrastructure,0.0,84.67393184570145,45.99999999999999,85.38,,Exceptional Growth,Fairly Valued,A,False,False,True,False,,,
EthereumPoW,,,,,71.78,,,,BBB,False,False,True,False,,,
Ethervista,Exchanges (DEX),0.0,58.962736373748605,50.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Euler,Lending,0.0,61.46686159844056,60.53571428571429,84.43,,Steady Growth,Fairly Valued,A,False,False,True,False,,,"{""name"": ""Euler"", ""sector"": ""Lending"", ""scores"": {""user_growth"": 61.46686159844056, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Aave"", ""scores"": {""user_growth"": 99.07407407407408}}, {""name"": ""Compound"", ""scores"": {""user_growth"": 79.99756335282652}}, {""name"": ""Maple Finance"", ""scores"": {""user_growth"": 63.62573099415204}}, {""name"": ""Morpho"", ""scores"": {""user_growth"": 81.08004385964914}}], ""sector_averages"": {""user_growth"": 53.35, ""count"": 46}}"
Euro Coin,,,,,80.74,,,,A,False,False,True,False,,,
Europe Fantasy League,Gaming,0.0,16.127450980392155,50.0,,,Stagnant/Declining,Fairly Valued,,False,False,True,False,,,
Everclear,Bridges,0.0,40.05681818181817,24.107142857142858,,,Slow Growth,Overvalued,,False,False,True,False,,,
Everyworld,Infrastructure,0.0,10.793980280228332,45.0,,,Stagnant/Declining,Fairly Valued,,False,False,True,False,,,
Evmos,Blockchains (L1),0.0,26.666666666666664,,,,Slow Growth,,,False,False,True,False,,,
Exactly Protocol,Lending,0.0,36.582602339181285,50.0,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Extra Finance,Lending,0.0,48.03728070175438,50.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
FD121 Limited,Stablecoin issuers,0.0,,,,,,,,False,False,True,False,,,
FDUSD,,,,,88.08,,,,AA,False,False,True,False,,,
FTX,NFT marketplaces,0.0,34.583333333333336,56.25000000000001,44.3,,Slow Growth,Fairly Valued,C,False,False,True,False,,,"{""name"": ""FTX"", ""sector"": ""NFT marketplaces"", ""scores"": {""user_growth"": 34.583333333333336, ""growth_category"": ""Slow Growth""}, ""peers"": [{""name"": ""Blur"", ""scores"": {""user_growth"": 88.75000000000001}}, {""name"": ""Magic Eden"", ""scores"": {""user_growth"": 100.0}}, {""name"": ""OpenSea"", ""scores"": {""user_growth"": 100.0}}, {""name"": ""Zora"", ""scores"": {""user_growth"": 80.0}}], ""sector_averages"": {""user_growth"": 54.66, ""count"": 16}}"
Fableborne,Gaming,0.0,,,,,,,,False,False,True,False,,,
Falcon Finance,,,,,64.72,,,,BB,False,False,True,False,,,
Fantasy,Gaming,0.0,,,,,,,,False,False,True,False,,,
Fartcoin,,,,,66.08,,,,BB,False,False,True,False,,,
Fei Protocol,,,,,48.63,,,,CC,False,False,True,False,,,
Fellaz,,,,,74.92,,,,BBB,False,False,True,False,,,
Fenix,Exchanges (DEX),0.0,23.083426028921025,45.0,,,Stagnant/Declining,Fairly Valued,,False,False,True,False,,,
Fetch.ai,,,,,92.88,,,,AA,False,False,True,False,,,
Fibrous,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
Filecoin,Blockchains (L1),22.236848055760632,64.0909090909091,29.43181818181818,86.39,,Steady Growth,Overvalued,A,False,False,True,False,,,"{""name"": ""Filecoin"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 64.0909090909091, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
Flare,,,,,74.54,,,,BBB,False,False,True,False,,,
Flashbots,Infrastructure,0.0,50.83333333333333,,,,Steady Growth,,,False,False,True,False,,,
Flexa,,,,,62.27,,,,B,False,False,True,False,,,
Floki,,,,,91.93,,,,AA,False,False,True,False,,,
FlokiFi,,,,,88.72,,,,AA,False,False,True,False,,,
Flow,Blockchains (L1),0.0,43.63636363636364,,84.91,,Slow Growth,,A,False,False,True,False,,,
FlowX Finance,Exchanges (DEX),0.0,26.091954022988507,,,,Slow Growth,,,False,False,True,False,,,
Fluid,Lending,43.228796453893736,74.63084795321639,62.78125000000001,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Fluxbeam,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
Folks Finance,Lending,0.0,,,,,,,,False,False,True,False,,,
Forgotten Runiverse,Gaming,0.0,,,,,,,,False,False,True,False,,,
Foundation,NFT marketplaces,22.291658391851808,55.0,,,,Steady Growth,,,False,False,True,False,,,
Four,,,,,70.31,,,,BB,False,False,True,False,,,
Fragmetric,Liquid staking,0.0,,,,,,,,False,False,True,False,,,
Franklin Templeton (FOBXX),Asset management,0.0,,,,,,,,False,False,True,False,,,
Frax,Blockchains (L2),0.0,,,85.71,,,,A,False,False,True,False,,,
Frax Finance - Frax Ether,Liquid staking,43.881970856862736,36.66666666666667,,62.68,,Slow Growth,,B,False,False,True,False,,,
Frax Finance - Frax Ether,,,,,62.68,,,,B,False,False,True,False,,,
Frax Share,,,,,83.1,,,,A,False,False,True,False,,,
Frax Stablecoin,Stablecoin issuers,0.0,,,,,,,,False,False,True,False,,,
Frax Staked Ether,,,,,67.69,,,,BB,False,False,True,False,,,
Fraxlend,Lending,0.0,41.18421052631579,,,,Slow Growth,,,False,False,True,False,,,
Fraxtal,Blockchains (L2),0.0,,,,,,,,False,False,True,False,,,
Fren Pet,Gaming,0.0,50.1797385620915,52.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Frequency,Blockchains (L2),0.0,32.36546651180798,,,,Slow Growth,,,False,False,True,False,,,
Freysa,,,,,65.36,,,,BB,False,False,True,False,,,
Fuel Ignition,Blockchains (L2),0.0,49.59627329192547,50.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Fuul Protocol,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
GMX,Derivative exchanges,50.319127872574335,95.64567206192824,75.34722222222221,91.92,,Exceptional Growth,Undervalued,AA,False,False,True,False,,,"{""name"": ""GMX"", ""sector"": ""Derivative exchanges"", ""scores"": {""user_growth"": 95.64567206192824, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Pendle"", ""scores"": {""user_growth"": 94.4047485765466}}, {""name"": ""Synthetix"", ""scores"": {""user_growth"": 80.07145256221611}}, {""name"": ""Drift Protocol"", ""scores"": {""user_growth"": 95.91836734693877}}, {""name"": ""Aevo"", ""scores"": {""user_growth"": 89.37847866419295}}], ""sector_averages"": {""user_growth"": 55.1, ""count"": 55}}"
Gains Network,Derivative exchanges,0.0,70.17810760667903,52.0,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Gala Games,,,,,89.15,,,,AA,False,False,True,False,,,
Galxe,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
Gamic,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
Gamma Strategies,Asset management,22.3638589499679,60.570931085044,87.50000000000001,,,Steady Growth,Undervalued,,False,False,True,False,,,
Garden Finance,Bridges,0.0,0.0,45.0,,,Stagnant/Declining,Fairly Valued,,False,False,True,False,,,
Gas,,,,,61.62,,,,B,False,False,True,False,,,
GateToken,,,,,88.55,,,,AA,False,False,True,False,,,
Gearbox,Lending,24.165608219299408,39.782529239766085,40.90625000000001,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Gemini,Stablecoin issuers,0.0,,,,,,,,False,False,True,False,,,
Getgems,NFT marketplaces,0.0,,,,,,,,False,False,True,False,,,
Gigachad,,,,,70.48,,,,BB,False,False,True,False,,,
Gitcoin,Infrastructure,0.0,60.18649455111572,52.5,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Glo Dollar,Stablecoin issuers,0.0,,,,,,,,False,False,True,False,,,
Global Dollar Network,Stablecoin issuers,0.0,,,,,,,,False,False,True,False,,,
Gnosis,Blockchains (L1),0.0,40.53518377047789,28.954326923076923,84.77,,Slow Growth,Overvalued,A,False,False,True,False,,,"{""name"": ""Gnosis"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 40.53518377047789, ""growth_category"": ""Slow Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
GoMining,,,,,91.49,,,,AA,False,False,True,False,,,
Goat Protocol,Asset management,0.0,12.12121212121212,,,,Stagnant/Declining,,,False,False,True,False,,,
GoldPro Token,,,,,74.73,,,,BBB,False,False,True,False,,,
Goldfinch,Lending,31.43859205852528,39.736842105263165,17.9375,,,Slow Growth,Overvalued,,False,False,True,False,,,
Golem,,,,,86.35,,,,A,False,False,True,False,,,
GoodDollar,Infrastructure,0.0,6.382978723404254,45.0,,,Stagnant/Declining,Fairly Valued,,False,False,True,False,,,
Gram,ERC20 Tokens,0.0,100.0,,,,Exceptional Growth,,,False,False,True,False,,,
Grass,,,,,76.37,,,,BBB,False,False,True,False,,,
Gravity,Blockchains (L2),33.303054003849226,81.36211567178466,71.04395604395604,85.13,,Exceptional Growth,Undervalued,A,False,False,True,False,,,"{""name"": ""Gravity"", ""sector"": ""Blockchains (L2)"", ""scores"": {""user_growth"": 81.36211567178466, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Arbitrum"", ""scores"": {""user_growth"": 96.30346290771791}}, {""name"": ""Immutable X"", ""scores"": {""user_growth"": 90.02038225560229}}, {""name"": ""StarkNet"", ""scores"": {""user_growth"": 74.82779415706244}}, {""name"": ""Uniswap"", ""scores"": {""user_growth"": 77.58420441347272}}], ""sector_averages"": {""user_growth"": 54.93, ""count"": 66}}"
Gravity Alpha Mainnet,Blockchains (L2),33.303054003849226,81.36211567178466,71.04395604395604,,,Exceptional Growth,Undervalued,,False,False,True,False,,,
Guild of Guardians,Gaming,0.0,49.803921568627445,50.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Gyroscope (Gyro Finance),Stablecoin issuers,0.0,,,,,,,,False,False,True,False,,,
HMX,Derivative exchanges,40.96215837196279,45.89105783379183,74.65277777777779,,,Steady Growth,Undervalued,,False,False,True,False,,,
HOT Protocol,Gaming,0.0,,,,,,,,False,False,True,False,,,
Hamster Kombat,,,,,75.53,,,,BBB,False,False,True,False,,,
Harmony,Blockchains (L1),0.0,,,78.97,,,,BBB,False,False,True,False,,,
