Project,Market Sector,EQS,UGS,FVS,SS,how3 Score,Growth Category,Valuation Category,SS (Rating),UGS dune,EQS dune,Static,Live,Dune Links,Symbol,EQSJSON
Decentraland,,,,,85.87,,,,A,,,,,,,
Decred,,,,,69.02,,,,BB,,,,,,,
DeepBook,,,,,70.31,,,,BB,,,,,,,
Definitive,Derivative exchanges,0.0,,,,,,,,,,,,,,
Degen,Blockchains (L3),0.0,0.0,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Deri Protocol,Derivative exchanges,,45.48431402341501,23.769841269841272,,,Steady Growth,Overvalued,,,,,,,,
Derivio,Derivative exchanges,0.0,,,,,,,,,,,,,,
Destra Network,,,,,76.17,,,,BBB,,,,,,,
Dexalot,Exchanges (DEX),0.0,53.07007786429366,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
DigiByte,,,,,75.13,,,,BBB,,,,,,,
Dinero,Liquid staking,0.0,8.705882352941178,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Dmail Network,Infrastructure,0.0,51.214971458225214,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
Dogecoin,Blockchains (L1),0.0,93.93939393939394,31.92082111436949,87.83,,Exceptional Growth,Overvalued,AA,,,,,,,
Dohrnii,,,,,80.13,,,,A,,,,,,,
DojoSwap,Exchanges (DEX),0.0,20.344827586206897,,,,Stagnant/Declining,,,,,,,,,
Dolomite,Lending,0.0,,,,,,,,,,,,,,
Dopex,Derivative exchanges,0.0,41.5893696820421,51.85526315789474,,,Slow Growth,Fairly Valued,,,,,,,,
Drift Protocol,Derivative exchanges,0.0,95.91836734693877,,86.6,,Exceptional Growth,,AA,,,,,,,
Dymension,Blockchains (L1),0.0,65.22727272727272,,,,Strong Growth,,,,,,,,,
Dypius,Infrastructure,0.0,35.932472755578615,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
EOS Network,,,,,92.09,,,,AA,,,,,,,
ERA Name Service,Infrastructure,0.0,16.722560975609756,52.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
ERAGON,Gaming,0.0,,,,,,,,,,,,,,
EYWA,Bridges,0.0,,,,,,,,,,,,,,
Echelon Market,Lending,0.0,,,,,,,,,,,,,,
Echelon Prime,Infrastructure,0.0,61.07161390762844,52.0,71.91,,Steady Growth,Fairly Valued,BBB,,,,,,,
Echelon Prime Foundation,Infrastructure,0.0,61.07161390762844,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
Echo Protocol,Asset management,0.0,,,,,,,,,,,,,,
Eclipse,Blockchains (L2),0.0,,,,,,,,,,,,,,
Econia,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Efi Hub,Gaming,0.0,,,,,,,,,,,,,,
Eggs Finance,Asset management,0.0,75.6852394916911,50.0,,,Strong Growth,Fairly Valued,,,,,,,,
EigenLayer,Liquid staking,0.0,87.64705882352942,55.0,90.03,,Exceptional Growth,Fairly Valued,AA,,,,,,,
Eigenpie,Liquid staking,0.0,,,,,,,,,,,,,,
Ekubo Protocol,Exchanges (DEX),0.0,63.189655172413794,,,,Steady Growth,,,,,,,,,
Element,NFT marketplaces,0.0,,,,,,,,,,,,,,
Ellipsis Finance,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Emojicoin.fun,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Energy Web X,Blockchains (L2),0.0,48.943599954052914,,,,Steady Growth,,,,,,,,,
Enjin,,,,,91.16,,,,AA,,,,,,,
Entangle,Stablecoin issuers,28.18419007292008,49.52380952380952,41.80803571428572,73.67,,Steady Growth,Fairly Valued,BBB,,,,,,,
Entangle,,,,,73.67,,,,BBB,,,,,,,
Enzyme Finance,Asset management,0.0,78.63196480938419,52.0,,,Strong Growth,Fairly Valued,,,,,,,,
Equalizer Exchange,Exchanges (DEX),11.935898594579324,24.451758266761047,92.46969696969695,,,Stagnant/Declining,Undervalued,,,,,,,,
Ethena,Stablecoin issuers,58.22851700086348,85.625,65.07440476190477,90.55,,Exceptional Growth,Fairly Valued,AA,,,,,,,"{""name"": ""Ethena"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""earnings_quality"": 57.15610750876476}, ""peers"": [{""name"": ""Aerodrome Finance"", ""scores"": {""earnings_quality"": 60.788622351381406}}, {""name"": ""Curve DAO Token"", ""scores"": {""earnings_quality"": 56.84522301549867}}, {""name"": ""PancakeSwap"", ""scores"": {""earnings_quality"": 20.610528563344047}}, {""name"": ""Sushiswap"", ""scores"": {""earnings_quality"": 47.83216668659891}}], ""sector_averages"": {""earnings_quality"": 8.69, ""count"": 136}}"
Ethena,Exchanges (DEX),57.15610750876476,80.8611946775879,76.46969696969697,90.55,,Exceptional Growth,Undervalued,AA,,,,,,,"{""name"": ""Ethena"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""earnings_quality"": 57.15610750876476}, ""peers"": [{""name"": ""Aerodrome Finance"", ""scores"": {""earnings_quality"": 60.788622351381406}}, {""name"": ""Curve DAO Token"", ""scores"": {""earnings_quality"": 56.84522301549867}}, {""name"": ""PancakeSwap"", ""scores"": {""earnings_quality"": 20.610528563344047}}, {""name"": ""Sushiswap"", ""scores"": {""earnings_quality"": 47.83216668659891}}], ""sector_averages"": {""earnings_quality"": 8.69, ""count"": 136}}"
Ether.Fi,Liquid staking,0.0,68.38848039215686,55.0,80.58,,Strong Growth,Fairly Valued,A,,,,,,,
Ethereum,Blockchains (L1),26.402623193032213,80.74585137085137,62.93269230769231,96.23,,Exceptional Growth,Fairly Valued,AAA,,,,,,,"{""name"": ""Ethereum"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 26.402623193032213}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Ethereum Attestation Service,Infrastructure,0.0,,,,,,,,,,,,,,
Ethereum Classic,,,,,77.53,,,,BBB,,,,,,,
Ethereum Name Service,Infrastructure,0.0,84.67393184570145,45.99999999999999,85.38,,Exceptional Growth,Fairly Valued,A,,,,,,,
EthereumPoW,,,,,71.78,,,,BBB,,,,,,,
Ethervista,Exchanges (DEX),0.0,58.962736373748605,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
Euler,Lending,0.0,61.46686159844056,60.53571428571429,84.43,,Steady Growth,Fairly Valued,A,,,,,,,
Euro Coin,,,,,80.74,,,,A,,,,,,,
Europe Fantasy League,Gaming,0.0,16.127450980392155,50.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Everclear,Bridges,0.0,40.05681818181817,24.107142857142858,,,Slow Growth,Overvalued,,,,,,,,
Everyworld,Infrastructure,0.0,10.793980280228332,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Evmos,Blockchains (L1),0.0,26.666666666666664,,,,Slow Growth,,,,,,,,,
Exactly Protocol,Lending,0.0,36.582602339181285,50.0,,,Slow Growth,Fairly Valued,,,,,,,,
Extra Finance,Lending,0.0,48.03728070175438,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
FD121 Limited,Stablecoin issuers,0.0,,,,,,,,,,,,,,
FDUSD,,,,,88.08,,,,AA,,,,,,,
FTX,NFT marketplaces,0.0,34.583333333333336,56.25000000000001,44.3,,Slow Growth,Fairly Valued,C,,,,,,,
Fableborne,Gaming,0.0,,,,,,,,,,,,,,
Falcon Finance,,,,,64.72,,,,BB,,,,,,,
Fantasy,Gaming,0.0,,,,,,,,,,,,,,
Fartcoin,,,,,66.08,,,,BB,,,,,,,
Fei Protocol,,,,,48.63,,,,CC,,,,,,,
Fellaz,,,,,74.92,,,,BBB,,,,,,,
Fenix,Exchanges (DEX),0.0,23.083426028921025,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Fetch.ai,,,,,92.88,,,,AA,,,,,,,
Fibrous,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Filecoin,Blockchains (L1),22.236848055760632,64.0909090909091,29.43181818181818,86.39,,Steady Growth,Overvalued,A,,,,,,,"{""name"": ""Filecoin"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 22.236848055760632}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Flare,,,,,74.54,,,,BBB,,,,,,,
Flashbots,Infrastructure,0.0,50.83333333333333,,,,Steady Growth,,,,,,,,,
Flexa,,,,,62.27,,,,B,,,,,,,
Floki,,,,,91.93,,,,AA,,,,,,,
FlokiFi,,,,,88.72,,,,AA,,,,,,,
Flow,Blockchains (L1),0.0,43.63636363636364,,84.91,,Slow Growth,,A,,,,,,,
FlowX Finance,Exchanges (DEX),0.0,26.091954022988507,,,,Slow Growth,,,,,,,,,
Fluid,Lending,43.228796453893736,74.63084795321639,62.78125000000001,,,Strong Growth,Fairly Valued,,,,,,,,
Fluxbeam,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Folks Finance,Lending,0.0,,,,,,,,,,,,,,
Forgotten Runiverse,Gaming,0.0,,,,,,,,,,,,,,
Foundation,NFT marketplaces,22.291658391851808,55.0,,,,Steady Growth,,,,,,,,,
Four,,,,,70.31,,,,BB,,,,,,,
Fragmetric,Liquid staking,0.0,,,,,,,,,,,,,,
Franklin Templeton (FOBXX),Asset management,0.0,,,,,,,,,,,,,,
Frax,Blockchains (L2),0.0,,,85.71,,,,A,,,,,,,
Frax Finance - Frax Ether,Liquid staking,43.881970856862736,36.66666666666667,,62.68,,Slow Growth,,B,,,,,,,
Frax Finance - Frax Ether,,,,,62.68,,,,B,,,,,,,
Frax Share,,,,,83.1,,,,A,,,,,,,
Frax Stablecoin,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Frax Staked Ether,,,,,67.69,,,,BB,,,,,,,
Fraxlend,Lending,0.0,41.18421052631579,,,,Slow Growth,,,,,,,,,
Fraxtal,Blockchains (L2),0.0,,,,,,,,,,,,,,
Fren Pet,Gaming,0.0,50.1797385620915,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
Frequency,Blockchains (L2),0.0,32.36546651180798,,,,Slow Growth,,,,,,,,,
Freysa,,,,,65.36,,,,BB,,,,,,,
Fuel Ignition,Blockchains (L2),0.0,49.59627329192547,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
Fuul Protocol,Infrastructure,0.0,,,,,,,,,,,,,,
GMX,Derivative exchanges,50.319127872574335,95.64567206192824,75.34722222222221,91.92,,Exceptional Growth,Undervalued,AA,,,,,,,"{""name"": ""GMX"", ""sector"": ""Derivative exchanges"", ""scores"": {""earnings_quality"": 50.319127872574335}, ""peers"": [{""name"": ""Pendle"", ""scores"": {""earnings_quality"": 44.20295270085844}}, {""name"": ""Synthetix"", ""scores"": {""earnings_quality"": 30.536112044822108}}, {""name"": ""Hegic"", ""scores"": {""earnings_quality"": 54.79070870679547}}, {""name"": ""SynFutures"", ""scores"": {""earnings_quality"": 44.47377406233293}}], ""sector_averages"": {""earnings_quality"": 8.13, ""count"": 63}}"
Gains Network,Derivative exchanges,0.0,70.17810760667903,52.0,,,Strong Growth,Fairly Valued,,,,,,,,
Gala Games,,,,,89.15,,,,AA,,,,,,,
Galxe,Infrastructure,0.0,,,,,,,,,,,,,,
Gamic,Infrastructure,0.0,,,,,,,,,,,,,,
Gamma Strategies,Asset management,22.3638589499679,60.570931085044,87.50000000000001,,,Steady Growth,Undervalued,,,,,,,,
Garden Finance,Bridges,0.0,0.0,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Gas,,,,,61.62,,,,B,,,,,,,
GateToken,,,,,88.55,,,,AA,,,,,,,
Gearbox,Lending,24.165608219299408,39.782529239766085,40.90625000000001,,,Slow Growth,Fairly Valued,,,,,,,,
Gemini,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Getgems,NFT marketplaces,0.0,,,,,,,,,,,,,,
Gigachad,,,,,70.48,,,,BB,,,,,,,
Gitcoin,Infrastructure,0.0,60.18649455111572,52.5,,,Steady Growth,Fairly Valued,,,,,,,,
Glo Dollar,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Global Dollar Network,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Gnosis,Blockchains (L1),0.0,40.53518377047789,28.954326923076923,84.77,,Slow Growth,Overvalued,A,,,,,,,
GoMining,,,,,91.49,,,,AA,,,,,,,
Goat Protocol,Asset management,0.0,12.12121212121212,,,,Stagnant/Declining,,,,,,,,,
GoldPro Token,,,,,74.73,,,,BBB,,,,,,,
Goldfinch,Lending,31.43859205852528,39.736842105263165,17.9375,,,Slow Growth,Overvalued,,,,,,,,
Golem,,,,,86.35,,,,A,,,,,,,
GoodDollar,Infrastructure,0.0,6.382978723404254,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Gram,ERC20 Tokens,0.0,100.0,,,,Exceptional Growth,,,,,,,,,
Grass,,,,,76.37,,,,BBB,,,,,,,
Gravity,Blockchains (L2),33.303054003849226,81.36211567178466,71.04395604395604,85.13,,Exceptional Growth,Undervalued,A,,,,,,,"{""name"": ""Gravity"", ""sector"": ""Blockchains (L2)"", ""scores"": {""earnings_quality"": 33.303054003849226}, ""peers"": [{""name"": ""Arbitrum"", ""scores"": {""earnings_quality"": 64.9549137112815}}, {""name"": ""Immutable X"", ""scores"": {""earnings_quality"": 62.73696331707027}}, {""name"": ""zkSync"", ""scores"": {""earnings_quality"": 37.3280384228913}}, {""name"": ""Arbitrum One"", ""scores"": {""earnings_quality"": 64.9549137112815}}], ""sector_averages"": {""earnings_quality"": 5.67, ""count"": 84}}"
Gravity Alpha Mainnet,Blockchains (L2),33.303054003849226,81.36211567178466,71.04395604395604,,,Exceptional Growth,Undervalued,,,,,,,,
Guild of Guardians,Gaming,0.0,49.803921568627445,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
Gyroscope (Gyro Finance),Stablecoin issuers,0.0,,,,,,,,,,,,,,
HMX,Derivative exchanges,40.96215837196279,45.89105783379183,74.65277777777779,,,Steady Growth,Undervalued,,,,,,,,
HOT Protocol,Gaming,0.0,,,,,,,,,,,,,,
Hamster Kombat,,,,,75.53,,,,BBB,,,,,,,
Harmony,Blockchains (L1),0.0,,,78.97,,,,BBB,,,,,,,
Hashflow,Exchanges (DEX),0.0,55.76828841810767,35.0,,,Steady Growth,Overvalued,,,,,,,,
Hedera,Blockchains (L1),0.0,78.78787878787878,,75.69,,Strong Growth,,BBB,,,,,,,
Hedgey Finance,Infrastructure,0.0,,,,,,,,,,,,,,
Hegic,Derivative exchanges,54.79070870679547,56.719839581600674,60.29166666666668,,,Steady Growth,Fairly Valued,,,,,,,,
Helium,Infrastructure,53.575124466986615,51.01063829787234,64.64285714285715,,,Steady Growth,Fairly Valued,,,,,,,,
Helix,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Hercules,Exchanges (DEX),0.0,23.79310344827586,,,,Stagnant/Declining,,,,,,,,,
Hinkal Protocol,Bridges,0.0,,,,,,,,,,,,,,
Hippo Labs,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Hive,,,,,73.15,,,,BBB,,,,,,,
Hivemapper,,,,,77.84,,,,BBB,,,,,,,
Holdstation,Derivative exchanges,17.760285004271626,70.3653597018745,45.59027777777778,,,Strong Growth,Fairly Valued,,,,,,,,
Homora,Lending,0.0,73.68421052631578,55.0,,,Strong Growth,Fairly Valued,,,,,,,,
Hook,Blockchains (L3),0.0,,,,,,,,,,,,,,
Hooked Protocol,Social,0.0,81.48148148148148,55.0,,,Exceptional Growth,Fairly Valued,,,,,,,,
Hop Protocol,Bridges,10.915853513560124,79.54545454545455,86.87500000000001,,,Strong Growth,Undervalued,,,,,,,,
Horizen,,,,,87.28,,,,AA,,,,,,,
Houdini Swap,Exchanges (DEX),35.93598183098257,40.2825361512792,60.39772727272727,,,Slow Growth,Fairly Valued,,,,,,,,
HunnyFinance,Asset management,0.0,27.239002932551323,52.0,,,Slow Growth,Fairly Valued,,,,,,,,
Hydration,Blockchains (L2),0.0,47.47824692728874,,,,Steady Growth,,,,,,,,,
Hydro Protocol,Liquid staking,0.0,27.647058823529413,,,,Slow Growth,,,,,,,,,
Hyperbridge,Blockchains (L2),0.0,19.98354626403407,,,,Stagnant/Declining,,,,,,,,,
Hyperlane,Bridges,0.0,,,,,,,,,,,,,,
Hyperliquid,Derivative exchanges,0.0,100.0,,82.06,,Exceptional Growth,,A,,,,,,,
Hyperliquid,Blockchains (L2),0.0,36.92307692307692,,82.06,,Slow Growth,,A,,,,,,,
Hypr,Blockchains (L2),0.0,,,,,,,,,,,,,,
ICHI,Asset management,0.0,25.12609970674487,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
IDEX,Exchanges (DEX),0.0,70.77011494252874,31.0,,,Strong Growth,Overvalued,,,,,,,,
IO.net,Infrastructure,0.0,76.59574468085107,,,,Strong Growth,,,,,,,,,
IOTA,,,,,74.39,,,,BBB,,,,,,,
IPMB,Asset management,0.0,51.65395894428153,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
IPOR Protocol,Derivative exchanges,23.52651645101508,39.93004686200499,39.01909722222223,,,Slow Growth,Overvalued,,,,,,,,
Idle Finance,Asset management,0.0,14.154936461388075,50.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Illuvium,Gaming,0.0,88.45315904139433,55.0,,,Exceptional Growth,Fairly Valued,,,,,,,,
ImmortalX,Derivative exchanges,0.0,,,,,,,,,,,,,,
Immutable X,,,,,90.06,,,,AA,,,,,,,"{""name"": ""Immutable X"", ""sector"": ""Blockchains (L2)"", ""scores"": {""earnings_quality"": 62.73696331707027}, ""peers"": [{""name"": ""Arbitrum"", ""scores"": {""earnings_quality"": 64.9549137112815}}, {""name"": ""Gravity"", ""scores"": {""earnings_quality"": 33.303054003849226}}, {""name"": ""zkSync"", ""scores"": {""earnings_quality"": 37.3280384228913}}, {""name"": ""Arbitrum One"", ""scores"": {""earnings_quality"": 64.9549137112815}}], ""sector_averages"": {""earnings_quality"": 5.67, ""count"": 84}}"
Immutable X,Blockchains (L2),62.73696331707027,90.02038225560229,92.6153846153846,90.06,,Exceptional Growth,Undervalued,AA,,,,,,,"{""name"": ""Immutable X"", ""sector"": ""Blockchains (L2)"", ""scores"": {""earnings_quality"": 62.73696331707027}, ""peers"": [{""name"": ""Arbitrum"", ""scores"": {""earnings_quality"": 64.9549137112815}}, {""name"": ""Gravity"", ""scores"": {""earnings_quality"": 33.303054003849226}}, {""name"": ""zkSync"", ""scores"": {""earnings_quality"": 37.3280384228913}}, {""name"": ""Arbitrum One"", ""scores"": {""earnings_quality"": 64.9549137112815}}], ""sector_averages"": {""earnings_quality"": 5.67, ""count"": 84}}"
Impermax Finance,Asset management,0.0,17.6969696969697,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Impossible Finance,Infrastructure,0.0,20.638297872340424,,,,Stagnant/Declining,,,,,,,,,
Index Cooperative,Asset management,41.69345088455628,60.26484604105573,52.32589285714286,,,Steady Growth,Fairly Valued,,,,,,,,
Infrared Finance,Liquid staking,0.0,,,,,,,,,,,,,,
Injective,Blockchains (L1),49.72054028597943,64.14820473644002,81.10576923076923,83.9,,Steady Growth,Undervalued,A,,,,,,,"{""name"": ""Injective"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 49.72054028597943}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Injera,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Instadapp,,,,,82.45,,,,A,,,,,,,
Integral,Exchanges (DEX),42.29887048257745,16.09936967000371,71.8939393939394,,,Stagnant/Declining,Undervalued,,,,,,,,
InterCrone Swap,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Interlay,Blockchains (L2),0.0,33.93259179844545,,,,Slow Growth,,,,,,,,,
Internet Computer,Blockchains (L1),34.99216143098731,74.21487603305783,91.1931818181818,88.3,,Strong Growth,Undervalued,AA,,,,,,,"{""name"": ""Internet Computer"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 34.99216143098731}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Invarch,Blockchains (L2),0.0,28.96631823461092,,,,Slow Growth,,,,,,,,,
Inverse Finance,Stablecoin issuers,0.0,,,,,,,,,,,,,,
IoTeX,,,,,90.76,,,,AA,,,,,,,
Ionic Protocol,Lending,0.0,38.94736842105263,,,,Slow Growth,,,,,,,,,
JOJO,Derivative exchanges,0.0,29.47773654916512,52.0,,,Slow Growth,Fairly Valued,,,,,,,,
JPool Staked SOL (JSOL),,,,,64.78,,,,BB,,,,,,,
JUST,Lending,0.0,90.13157894736842,55.0,68.5,,Exceptional Growth,Fairly Valued,BB,,,,,,,
Jasmy,,,,,83.63,,,,A,,,,,,,
Jito Labs,,,,,82.52,,,,A,,,,,,,"{""name"": ""Jito Labs"", ""sector"": ""Liquid staking"", ""scores"": {""earnings_quality"": 40.57981264730388}, ""peers"": [{""name"": ""Lido DAO"", ""scores"": {""earnings_quality"": 62.60100053261692}}, {""name"": ""Stader ETHx"", ""scores"": {""earnings_quality"": 39.25070817974617}}, {""name"": ""StakeWise"", ""scores"": {""earnings_quality"": 31.52352037258972}}, {""name"": ""Allstake"", ""scores"": {""earnings_quality"": 0.0}}], ""sector_averages"": {""earnings_quality"": 4.83, ""count"": 36}}"
Jito Labs,Liquid staking,40.57981264730388,92.94117647058825,52.91666666666667,82.52,,Exceptional Growth,Fairly Valued,A,,,,,,,"{""name"": ""Jito Labs"", ""sector"": ""Liquid staking"", ""scores"": {""earnings_quality"": 40.57981264730388}, ""peers"": [{""name"": ""Lido DAO"", ""scores"": {""earnings_quality"": 62.60100053261692}}, {""name"": ""Stader ETHx"", ""scores"": {""earnings_quality"": 39.25070817974617}}, {""name"": ""StakeWise"", ""scores"": {""earnings_quality"": 31.52352037258972}}, {""name"": ""Allstake"", ""scores"": {""earnings_quality"": 0.0}}], ""sector_averages"": {""earnings_quality"": 4.83, ""count"": 36}}"
Juice Finance,Asset management,0.0,51.5366568914956,55.0,,,Steady Growth,Fairly Valued,,,,,,,,
Jumbo Exchange,Exchanges (DEX),0.0,6.896551724137932,,,,Stagnant/Declining,,,,,,,,,
Jupiter Exchange,,,,,89.26,,,,AA,,,,,,,
Jupiter Exchange,Exchanges (DEX),0.0,95.40229885057472,,89.26,,Exceptional Growth,,AA,,,,,,,
JustLend,Lending,0.0,90.13157894736842,55.0,87.52,,Exceptional Growth,Fairly Valued,AA,,,,,,,
JustLend DAO,Lending,0.0,90.13157894736842,55.0,,,Exceptional Growth,Fairly Valued,,,,,,,,
KAI-CHING,Gaming,0.0,,,,,,,,,,,,,,
KAP Games,Gaming,0.0,33.88888888888888,74.44444444444446,,,Slow Growth,Undervalued,,,,,,,,
KGen,Gaming,0.0,,,,,,,,,,,,,,
Kadena,Blockchains (L1),0.0,31.21212121212121,,,,Slow Growth,,,,,,,,,
Kage Finance,Derivative exchanges,0.0,20.20408163265306,,,,Stagnant/Declining,,,,,,,,,
Kaia (prev. Klaytn & Finschia),,,,,84.85,,,,A,,,,,,,
Kaito,Infrastructure,0.0,85.92371562013491,55.0,84.19,,Exceptional Growth,Fairly Valued,A,,,,,,,
Kamino,Lending,0.0,78.94736842105263,,,,Strong Growth,,,,,,,,,
Kana,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Karak,Blockchains (L2),0.0,,,,,,,,,,,,,,
Karura,Blockchains (L1),2.093756615479769,6.0606060606060606,14.903846153846152,,,Stagnant/Declining,Overvalued,,,,,,,,
Kaspa,,,,,84.19,,,,A,,,,,,,
Katana,Exchanges (DEX),34.76674251409991,75.0,,,,Strong Growth,,,,,,,,,
Kava,,,,,90.1,,,,AA,,,,,,,
Keep,,,,,88.02,,,,AA,,,,,,,
Kiln,Liquid staking,0.0,,,,,,,,,,,,,,
KiloEx,Derivative exchanges,0.0,,,,,,,,,,,,,,
Kilt,Blockchains (L2),0.0,32.67706378986866,,,,Slow Growth,,,,,,,,,
Kinesis Money,Derivative exchanges,0.0,44.65445269016698,50.0,62.27,,Slow Growth,Fairly Valued,B,,,,,,,
Kinesis Money,,,,,62.27,,,,B,,,,,,,
Kleros,Infrastructure,0.0,29.23975090814738,49.72222222222223,,,Slow Growth,Fairly Valued,,,,,,,,
KlimaDAO,Infrastructure,0.0,36.0738842760768,52.0,,,Slow Growth,Fairly Valued,,,,,,,,
Kodiak Finance,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Koi Finance,Exchanges (DEX),0.0,22.71264367816092,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Kroma Network,Blockchains (L2),0.0,,,,,,,,,,,,,,
KuCoin Token,,,,,83.66,,,,A,,,,,,,
Kusama,Blockchains (L1),20.89199337228766,20.56198142135642,49.21875,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Kwenta,Derivative exchanges,0.0,50.46015330113237,61.102941176470594,,,Steady Growth,Fairly Valued,,,,,,,,
KyberSwap,Exchanges (DEX),0.0,76.79375442410759,63.11363636363637,,,Strong Growth,Fairly Valued,,,,,,,,
LCX,,,,,85.28,,,,A,,,,,,,
LFJ,Exchanges (DEX),42.24054203409128,76.7520519432366,64.5596590909091,,,Strong Growth,Fairly Valued,,,,,,,,
LI.FI,Infrastructure,0.0,,,,,,,,,,,,,,
LUKSO,Blockchains (L1),0.0,9.090909090909092,,,,Stagnant/Declining,,,,,,,,,
Lagoon,Asset management,0.0,,,,,,,,,,,,,,
Lagrange,Infrastructure,0.0,,,,,,,,,,,,,,
Lava Network,Blockchains (L1),0.0,20.60606060606061,,,,Stagnant/Declining,,,,,,,,,
Layer3,Infrastructure,46.27089996011394,75.34213062495367,92.85714285714286,,,Strong Growth,Undervalued,,,,,,,,
LayerZero,,,,,90.07,,,,AA,,,,,,,
Layerswap,Bridges,0.0,,,,,,,,,,,,,,
Lens Protocol,Social,0.0,0.0,,,,Stagnant/Declining,,,,,,,,,
Levana,Derivative exchanges,0.0,75.51020408163265,,,,Strong Growth,,,,,,,,,
Level Finance,Derivative exchanges,14.076985216916428,53.56381149638539,51.84375000000001,,,Steady Growth,Fairly Valued,,,,,,,,
