Project,Market Sector,User Growth Score,Growth Category
Kaito,Infrastructure,85.92371562013491,Exceptional Growth
StaFi,Liquid staking,19.352941176470587,Stagnant/Declining
Pragma,Infrastructure,,
Socket,Infrastructure,,
PumpBTC,Liquid staking,,
Phoenix Bonds,Asset management,,
Linea,Blockchains (L2),,
Archblock,Stablecoin issuers,,
Privy,Infrastructure,,
ParagonsDAO,Gaming,11.328976034858387,Stagnant/Declining
Mythos,Blockchains (L2),60.21319925718879,Steady Growth
ApePro,Exchanges (DEX),,
Gyroscope (Gyro Finance),Stablecoin issuers,,
Ambient,Exchanges (DEX),,
Lava Network,Blockchains (L1),20.606060606060606,Stagnant/Declining
Dexalot,Exchanges (DEX),53.07007786429366,Steady Growth
The Lost Glitches,Gaming,,
Robots.Farm,Gaming,28.73093681917211,Slow Growth
Stabble,Exchanges (DEX),,
DeDust,Exchanges (DEX),,
Aethir,Infrastructure,69.83945251686559,Strong Growth
pump.fun,Exchanges (DEX),,
BlackRock (BUIDL),Asset management,,
StarkGate,Bridges,,
Galxe,Infrastructure,,
Paradise Tycoon,Gaming,,
Revert Finance,Infrastructure,,
Echelon Market,Lending,,
ResearchHub,Infrastructure,36.23248572911261,Slow Growth
Polygon zkEVM,Blockchains (L2),,
IO.net,Infrastructure,76.59574468085107,Strong Growth
Impossible Finance,Infrastructure,20.638297872340424,Stagnant/Declining
Fibrous,Exchanges (DEX),,
Term Finance,Lending,0.0,Stagnant/Declining
SendingMe,Social,,
Baby Shark Universe,Gaming,,
Unique Network,Blockchains (L2),30.869452846804755,Slow Growth
Reservoir,Infrastructure,,
Synonym Finance,Lending,18.971734892787524,Stagnant/Declining
DIN (ex Web3Go),Infrastructure,,
Mento,Stablecoin issuers,,
Europe Fantasy League,Gaming,16.127450980392155,Stagnant/Declining
Rain.fi,Lending,,
Limitless,Prediction markets,,
Worldcoin,Blockchains (L2),89.51227887965693,Exceptional Growth
Stake DAO,Asset management,47.4266862170088,Steady Growth
HOT Protocol,Gaming,,
Axiom,Infrastructure,,
Midas,Asset management,,
Lybra Finance,Stablecoin issuers,63.60119047619047,Steady Growth
Nouns DAO,Asset management,,
UMA,Infrastructure,67.77666061235081,Strong Growth
Router Protocol,Bridges,22.5,Stagnant/Declining
JOJO,Derivative exchanges,29.477736549165122,Slow Growth
Bedrock,Liquid staking,,
Aventus,Blockchains (L2),31.452460582895373,Slow Growth
Fraxlend,Lending,41.18421052631579,Slow Growth
Hippo Labs,Exchanges (DEX),,
OpenLeverage,Derivative exchanges,48.285714285714285,Steady Growth
WAGMI (ex Popsicle Finance),Exchanges (DEX),54.511679644048954,Steady Growth
Injera,Stablecoin issuers,,
Liquidswap,Exchanges (DEX),55.431034482758626,Steady Growth
MOOAR,NFT marketplaces,,
Resolv,Stablecoin issuers,,
Unipilot,Asset management,42.36391129032258,Slow Growth
Arrakis Finance,Asset management,,
BounceBit,Blockchains (L1),35.75757575757576,Slow Growth
UWON Coin,ERC20 Tokens,0.0,Stagnant/Declining
Slime Revolution,Gaming,,
Avantis,Exchanges (DEX),,
Darwinia Network,Blockchains (L2),38.50515437637654,Slow Growth
RabbitX,Derivative exchanges,56.0556586270872,Steady Growth
Echo Protocol,Asset management,,
Biconomy,Infrastructure,57.130902957965745,Steady Growth
Hyperlane,Bridges,,
Virtuals Protocol,Infrastructure,91.48936170212765,Exceptional Growth
Proof of Play,Blockchains (L3),,
Dmail Network,Infrastructure,51.214971458225214,Steady Growth
Paradex,Exchanges (DEX),,
Overnight,Stablecoin issuers,,
SwapX,Infrastructure,30.601971977166578,Slow Growth
Fenix,Exchanges (DEX),23.083426028921025,Stagnant/Declining
Shape,Blockchains (L2),55.885598141695716,Steady Growth
JustLend DAO,Lending,90.13157894736842,Exceptional Growth
Tevi,Social,,
Kilt,Blockchains (L2),32.67706378986866,Slow Growth
Ethereum Name Service,Infrastructure,84.67393184570145,Exceptional Growth
Arweave,Blockchains (L1),50.45454545454545,Steady Growth
Prisma Finance,Stablecoin issuers,47.63392857142858,Steady Growth
Cellana Finance,Exchanges (DEX),34.13793103448276,Slow Growth
MySwap,Exchanges (DEX),,
BSX Exchange,Derivative exchanges,,
zkSync Lite,Blockchains (L2),,
Redstone,Blockchains (L2),,
IPMB,Asset management,51.65395894428153,Steady Growth
Gains Network,Derivative exchanges,70.17810760667903,Strong Growth
Superstate,Asset management,,
WINR Protocol,Prediction markets,55.0,Steady Growth
Wasabi,Derivative exchanges,,
Chiliz,Blockchains (L1),51.59090909090909,Steady Growth
KGen,Gaming,,
Superposition,Lending,,
ImmortalX,Derivative exchanges,,
Raft,Stablecoin issuers,14.999999999999998,Stagnant/Declining
Gitcoin,Infrastructure,60.18649455111572,Steady Growth
Cygnus Finance,Infrastructure,,
Aries Markets,Lending,,
Mint Blockchain,Blockchains (L2),,
Mendi Finance,Lending,31.052631578947363,Slow Growth
Goat Protocol,Asset management,12.121212121212121,Stagnant/Declining
GoodDollar,Infrastructure,6.382978723404254,Stagnant/Declining
BladeSwap,Exchanges (DEX),28.87300704486467,Slow Growth
ZetaChain,Blockchains (L1),58.4090909090909,Steady Growth
World of Dypians,Gaming,,
Stability,Asset management,31.21212121212121,Slow Growth
Crust Network,Blockchains (L2),47.42116579073102,Steady Growth
SUN,Exchanges (DEX),87.20800889877643,Exceptional Growth
Sun Swap,Exchanges (DEX),,
The Arena,Social,,
Terra,Blockchains (L1),34.2293771043771,Slow Growth
SmarDex,Exchanges (DEX),46.63403781979978,Steady Growth
SatLayer,Liquid staking,,
Parallel,Blockchains (L2),,
TapiocaDAO,Stablecoin issuers,26.666666666666664,Slow Growth
Octopus Network,Asset management,52.59824046920821,Steady Growth
Save,Lending,20.526315789473685,Stagnant/Declining
OmniBTC (OmniSwap),Exchanges (DEX),,
Super Champs,Gaming,,
NeuroWeb,Blockchains (L2),33.57607114140215,Slow Growth
Boba Network,Blockchains (L2),57.88461538461539,Steady Growth
EigenLayer,Liquid staking,87.64705882352942,Exceptional Growth
Bluefin,Derivative exchanges,73.46938775510205,Strong Growth
Moola Market,Lending,21.297514619883035,Stagnant/Declining
YOLO Games,Gaming,39.787581699346404,Slow Growth
Clique,Infrastructure,,
BoomLand,Gaming,,
Ekubo Protocol,Exchanges (DEX),63.189655172413794,Steady Growth
Catalyst,Bridges,,
Thorchain,Exchanges (DEX),98.85057471264368,Exceptional Growth
pods.media,Social,,
Starbase,Exchanges (DEX),,
Loopring,Exchanges (DEX),84.91657397107898,Exceptional Growth
Nearlend DAO,Lending,,
Stryke,Derivative exchanges,36.00371057513915,Slow Growth
Drift Protocol,Derivative exchanges,95.91836734693875,Exceptional Growth
LogX,Derivative exchanges,,
Kiln,Liquid staking,,
Cetus,Exchanges (DEX),80.45977011494253,Exceptional Growth
Celer Network,Infrastructure,56.10923715620135,Steady Growth
Aark,Derivative exchanges,56.83673469387756,Steady Growth
Ancient8,Blockchains (L2),61.54861442904921,Steady Growth
Storj,Infrastructure,77.19252724442137,Strong Growth
Magpie XYZ,Asset management,68.83870967741936,Strong Growth
Jupiter,Exchanges (DEX),95.40229885057471,Exceptional Growth
Rings,Stablecoin issuers,,
Soneium,Blockchains (L2),93.61207897793265,Exceptional Growth
Puffer Finance,Liquid staking,,
Thetis Market,Exchanges (DEX),,
Lombard Finance,Liquid staking,,
Reserve,Stablecoin issuers,,
Superseed,Blockchains (L2),46.91347270615563,Steady Growth
RARI Chain,Blockchains (L3),,
Sorare,Gaming,,
Abstract,Blockchains (L2),,
TruFin,Liquid staking,,
Meteora,Exchanges (DEX),,
XDC Network,Blockchains (L1),42.5,Slow Growth
Ion Protocol,Lending,,
Paxos,Stablecoin issuers,,
Talis Protocol,NFT marketplaces,21.11111111111111,Stagnant/Declining
Optopia,Blockchains (L2),22.252747252747255,Stagnant/Declining
Gram,ERC20 Tokens,100.0,Exceptional Growth
Guild of Guardians,Gaming,49.803921568627445,Steady Growth
Eggs Finance,Asset management,75.6852394916911,Strong Growth
Astroport,Exchanges (DEX),30.689655172413794,Slow Growth
ZNS Connect Name Service,Infrastructure,,
Pendulum,Blockchains (L2),22.881456522571504,Stagnant/Declining
Particle,Derivative exchanges,51.73701298701299,Steady Growth
Coreum,Blockchains (L1),15.151515151515154,Stagnant/Declining
Sui,Blockchains (L1),87.87878787878788,Exceptional Growth
Apeiron,Gaming,53.39869281045752,Steady Growth
ShapeShift,Exchanges (DEX),61.212458286985544,Steady Growth
Dypius,Infrastructure,35.932472755578615,Slow Growth
DYORSWAP,Exchanges (DEX),,
Bifrost,Blockchains (L2),53.28021499406516,Steady Growth
Polter Finance,Lending,0.0,Stagnant/Declining
Gamic,Infrastructure,,
Definitive,Derivative exchanges,,
Liquid Collective,Liquid staking,30.0,Slow Growth
Rocket Pool,Liquid staking,52.80024509803921,Steady Growth
Jumbo Exchange,Exchanges (DEX),6.8965517241379315,Stagnant/Declining
FD121 Limited,Stablecoin issuers,,
Emojicoin.fun,Exchanges (DEX),,
4EVERLAND,Infrastructure,,
Bitwise (ETHW),Asset management,,
Pichi Finance,Derivative exchanges,23.60296846011132,Stagnant/Declining
Aftermath Finance,Exchanges (DEX),,
Stake.com,Prediction markets,,
Secret Network,Blockchains (L1),28.181818181818183,Slow Growth
Spacebar,Gaming,,
RabbitSwap,Exchanges (DEX),,
NAVI Protocol,Lending,97.36842105263158,Exceptional Growth
Beefy,Asset management,59.689149560117315,Steady Growth
Rho Protocol,Derivative exchanges,,
Exactly Protocol,Lending,36.582602339181285,Slow Growth
XY Finance,Bridges,35.0,Slow Growth
yearn.finance,Asset management,96.28543499511241,Exceptional Growth
Colony,Infrastructure,27.851907109496626,Slow Growth
Helix,Exchanges (DEX),,
Bungee,Bridges,,
Vana,Blockchains (L1),,
Everyworld,Infrastructure,10.793980280228332,Stagnant/Declining
Synthswap,Exchanges (DEX),32.35669262143122,Slow Growth
Alkimiya,Infrastructure,,
MetaMask,Exchanges (DEX),81.81818181818183,Exceptional Growth
Interlay,Blockchains (L2),33.93259179844545,Slow Growth
Fuel Ignition,Blockchains (L2),49.59627329192547,Steady Growth
Phoenix,Exchanges (DEX),,
Vaultka,Derivative exchanges,33.962894248608535,Slow Growth
Sweatcoin,Social,29.629629629629626,Slow Growth
Plume Network,Blockchains (L1),40.378787878787875,Slow Growth
Kage Finance,Derivative exchanges,20.20408163265306,Stagnant/Declining
Thala,Exchanges (DEX),45.08620689655172,Steady Growth
Sakai Vault,Derivative exchanges,49.493506493506494,Steady Growth
Aevo,Derivative exchanges,89.37847866419295,Exceptional Growth
Dolomite,Lending,,
Symbiotic,Liquid staking,80.0,Exceptional Growth
AI Protocol,Infrastructure,45.902309289050336,Steady Growth
XRP,Blockchains (L1),95.45454545454545,Exceptional Growth
Skip Protocol,Infrastructure,,
Lagrange,Infrastructure,,
RealT,Asset management,46.20967741935484,Steady Growth
Navigator,Derivative exchanges,56.82560296846012,Steady Growth
Seraph,Gaming,79.52069716775598,Strong Growth
Franklin Templeton (FOBXX),Asset management,,
Fantasy,Gaming,,
dHedge,Asset management,47.79325513196481,Steady Growth
Mode Network,Blockchains (L2),61.870883907033736,Steady Growth
Ellipsis Finance,Exchanges (DEX),,
nftperp,Derivative exchanges,,
dForce,Lending,78.06042884990252,Strong Growth
Safe,Infrastructure,57.03976388168137,Steady Growth
Centrifuge,Blockchains (L2),28.965898232202576,Slow Growth
Getgems,NFT marketplaces,,
Forgotten Runiverse,Gaming,,
Flow,Blockchains (L1),43.63636363636364,Slow Growth
AZERO ID,Infrastructure,,
Fragmetric,Liquid staking,,
Orbiter Finance,Bridges,,
ZKFair,Blockchains (L2),52.11538461538461,Steady Growth
BasePaint,NFT marketplaces,,
White Whale,Exchanges (DEX),,
STEPN,Gaming,,
