Project,Market Sector,Safety Score,Safety Grade,Earnings Quality Score,User Growth Score,Growth Category,Fair Value Score,Valuation Category,Market Cap to Revenue Ratio
Helix,Exchanges (DEX),,,0.0,,,,,
Hercules,Exchanges (DEX),,,0.0,23.79310344827586,Stagnant/Declining,,,
Hinkal Protocol,Bridges,,,0.0,,,,,
Hippo Labs,Exchanges (DEX),,,0.0,,,,,
Hive,,73.15,BBB,,,,,,
Hivemapper,,77.84,BBB,,,,,,
Holdstation,Derivative exchanges,,,17.760285004271626,70.3653597018745,Strong Growth,45.59027777777778,Fairly Valued,0.0x
Homora,Lending,,,0.0,73.68421052631578,Strong Growth,55.0,Fairly Valued,
Hook,Blockchains (L3),,,0.0,,,,,
Hooked Protocol,Social,,,0.0,81.48148148148148,Exceptional Growth,55.0,Fairly Valued,
Hop Protocol,Bridges,,,10.915853513560124,79.54545454545455,Strong Growth,86.87500000000001,Undervalued,0.0x
Horizen,,87.28,AA,,,,,,
Houdini Swap,Exchanges (DEX),,,35.93598183098257,40.2825361512792,Slow Growth,60.39772727272727,Fairly Valued,0.0x
HunnyFinance,Asset management,,,0.0,27.239002932551323,Slow Growth,52.0,Fairly Valued,
Hydration,Blockchains (L2),,,0.0,47.47824692728874,Steady Growth,,,
Hydro Protocol,Liquid staking,,,0.0,27.647058823529413,Slow Growth,,,
Hyperbridge,Blockchains (L2),,,0.0,19.98354626403407,Stagnant/Declining,,,
Hyperlane,Bridges,,,0.0,,,,,
Hyperliquid,Derivative exchanges,82.06,A,0.0,100.0,Exceptional Growth,,,
Hyperliquid,Blockchains (L2),82.06,A,0.0,36.92307692307692,Slow Growth,,,
Hypr,Blockchains (L2),,,0.0,,,,,
ICHI,Asset management,,,0.0,25.12609970674487,Slow Growth,45.0,Fairly Valued,
IDEX,Exchanges (DEX),,,0.0,70.77011494252874,Strong Growth,31.0,Overvalued,0.0x
IO.net,Infrastructure,,,0.0,76.59574468085107,Strong Growth,,,
IOTA,,74.39,BBB,,,,,,
IPMB,Asset management,,,0.0,51.65395894428153,Steady Growth,45.0,Fairly Valued,
IPOR Protocol,Derivative exchanges,,,23.52651645101508,39.93004686200499,Slow Growth,39.01909722222223,Overvalued,0.0x
Idle Finance,Asset management,,,0.0,14.154936461388075,Stagnant/Declining,50.0,Fairly Valued,
Illuvium,Gaming,,,0.0,88.45315904139433,Exceptional Growth,55.0,Fairly Valued,
ImmortalX,Derivative exchanges,,,0.0,,,,,
Immutable X,,90.06,AA,,,,,,
Immutable X,Blockchains (L2),90.06,AA,62.73696331707027,90.02038225560229,Exceptional Growth,92.6153846153846,Undervalued,0.0x
Impermax Finance,Asset management,,,0.0,17.6969696969697,Stagnant/Declining,45.0,Fairly Valued,
Impossible Finance,Infrastructure,,,0.0,20.638297872340424,Stagnant/Declining,,,
Index Cooperative,Asset management,,,41.69345088455628,60.26484604105573,Steady Growth,52.32589285714286,Fairly Valued,0.0x
Infrared Finance,Liquid staking,,,0.0,,,,,
Injective,Blockchains (L1),83.9,A,49.72054028597943,64.14820473644002,Steady Growth,81.10576923076923,Undervalued,0.0x
Injera,Stablecoin issuers,,,0.0,,,,,
Instadapp,,82.45,A,,,,,,
Integral,Exchanges (DEX),,,42.29887048257745,16.09936967000371,Stagnant/Declining,71.8939393939394,Undervalued,0.0x
InterCrone Swap,Exchanges (DEX),,,0.0,,,,,
Interlay,Blockchains (L2),,,0.0,33.93259179844545,Slow Growth,,,
Internet Computer,Blockchains (L1),88.3,AA,34.99216143098731,74.21487603305783,Strong Growth,91.1931818181818,Undervalued,0.0x
Invarch,Blockchains (L2),,,0.0,28.96631823461092,Slow Growth,,,
Inverse Finance,Stablecoin issuers,,,0.0,,,,,
IoTeX,,90.76,AA,,,,,,
Ionic Protocol,Lending,,,0.0,38.94736842105263,Slow Growth,,,
JOJO,Derivative exchanges,,,0.0,29.47773654916512,Slow Growth,52.0,Fairly Valued,
JPool Staked SOL (JSOL),,64.78,BB,,,,,,
JUST,Lending,68.5,BB,0.0,90.13157894736842,Exceptional Growth,55.0,Fairly Valued,
Jasmy,,83.63,A,,,,,,
Jito Labs,,82.52,A,,,,,,
Jito Labs,Liquid staking,82.52,A,40.57981264730388,92.94117647058825,Exceptional Growth,52.91666666666667,Fairly Valued,0.0x
Juice Finance,Asset management,,,0.0,51.5366568914956,Steady Growth,55.0,Fairly Valued,
Jumbo Exchange,Exchanges (DEX),,,0.0,6.896551724137932,Stagnant/Declining,,,
Jupiter Exchange,,89.26,AA,,,,,,
Jupiter Exchange,Exchanges (DEX),89.26,AA,0.0,95.40229885057472,Exceptional Growth,,,
JustLend,Lending,87.52,AA,0.0,90.13157894736842,Exceptional Growth,55.0,Fairly Valued,
JustLend DAO,Lending,,,0.0,90.13157894736842,Exceptional Growth,55.0,Fairly Valued,
KAI-CHING,Gaming,,,0.0,,,,,
KAP Games,Gaming,,,0.0,33.88888888888888,Slow Growth,74.44444444444446,Undervalued,0.0x
KGen,Gaming,,,0.0,,,,,
Kadena,Blockchains (L1),,,0.0,31.21212121212121,Slow Growth,,,
Kage Finance,Derivative exchanges,,,0.0,20.20408163265306,Stagnant/Declining,,,
Kaia (prev. Klaytn & Finschia),,84.85,A,,,,,,
Kaito,Infrastructure,84.19,A,0.0,85.92371562013491,Exceptional Growth,55.0,Fairly Valued,
Kamino,Lending,,,0.0,78.94736842105263,Strong Growth,,,
Kana,Exchanges (DEX),,,0.0,,,,,
Karak,Blockchains (L2),,,0.0,,,,,
Karura,Blockchains (L1),,,2.093756615479769,6.0606060606060606,Stagnant/Declining,14.903846153846152,Overvalued,0.0x
Kaspa,,84.19,A,,,,,,
Katana,Exchanges (DEX),,,34.76674251409991,75.0,Strong Growth,,,
Kava,,90.1,AA,,,,,,
Keep,,88.02,AA,,,,,,
Kiln,Liquid staking,,,0.0,,,,,
KiloEx,Derivative exchanges,,,0.0,,,,,
Kilt,Blockchains (L2),,,0.0,32.67706378986866,Slow Growth,,,
Kinesis Money,Derivative exchanges,62.27,B,0.0,44.65445269016698,Slow Growth,50.0,Fairly Valued,
Kinesis Money,,62.27,B,,,,,,
Kleros,Infrastructure,,,0.0,29.23975090814738,Slow Growth,49.72222222222223,Fairly Valued,0.0x
KlimaDAO,Infrastructure,,,0.0,36.0738842760768,Slow Growth,52.0,Fairly Valued,
Kodiak Finance,Exchanges (DEX),,,0.0,,,,,
Koi Finance,Exchanges (DEX),,,0.0,22.71264367816092,Stagnant/Declining,45.0,Fairly Valued,
Kroma Network,Blockchains (L2),,,0.0,,,,,
KuCoin Token,,83.66,A,,,,,,
Kusama,Blockchains (L1),,,20.89199337228766,20.56198142135642,Stagnant/Declining,49.21875,Fairly Valued,0.0x
Kwenta,Derivative exchanges,,,0.0,50.46015330113237,Steady Growth,61.102941176470594,Fairly Valued,0.0x
KyberSwap,Exchanges (DEX),,,0.0,76.79375442410759,Strong Growth,63.11363636363637,Fairly Valued,0.0x
LCX,,85.28,A,,,,,,
LFJ,Exchanges (DEX),,,42.24054203409128,76.7520519432366,Strong Growth,64.5596590909091,Fairly Valued,0.0x
LI.FI,Infrastructure,,,0.0,,,,,
LUKSO,Blockchains (L1),,,0.0,9.090909090909092,Stagnant/Declining,,,
Lagoon,Asset management,,,0.0,,,,,
Lagrange,Infrastructure,,,0.0,,,,,
Lava Network,Blockchains (L1),,,0.0,20.60606060606061,Stagnant/Declining,,,
Layer3,Infrastructure,,,46.27089996011394,75.34213062495367,Strong Growth,92.85714285714286,Undervalued,0.0x
LayerZero,,90.07,AA,,,,,,
Layerswap,Bridges,,,0.0,,,,,
Lens Protocol,Social,,,0.0,0.0,Stagnant/Declining,,,
Levana,Derivative exchanges,,,0.0,75.51020408163265,Strong Growth,,,
Level Finance,Derivative exchanges,,,14.076985216916428,53.56381149638539,Steady Growth,51.84375000000001,Fairly Valued,0.0x
Lido DAO,,92.06,AA,,,,,,
Lido DAO,Liquid staking,92.06,AA,62.60100053261692,79.24632352941175,Strong Growth,70.40625000000001,Undervalued,0.0x
Lido Staked ETH,,88.73,AA,,,,,,
Lido wstETH,,84.49,A,,,,,,
Lifinity,Exchanges (DEX),,,0.0,36.43678160919541,Slow Growth,,,
Lighter,Exchanges (DEX),,,0.0,18.181818181818183,Stagnant/Declining,,,
Limitless,Prediction markets,,,0.0,,,,,
Linea,Blockchains (L2),,,0.0,,,,,
Liquid Collective,Liquid staking,,,0.0,30.0,Slow Growth,,,
Liquid Staked ETH,,69.28,BB,,,,,,
Liquidswap,Exchanges (DEX),,,0.0,55.43103448275863,Steady Growth,,,
Liquity,Stablecoin issuers,,,56.19766082534869,65.0,Strong Growth,48.88839285714286,Fairly Valued,0.0x
Lisk,Blockchains (L2),,,0.0,57.4295269947444,Steady Growth,45.0,Fairly Valued,
Lista DAO,Stablecoin issuers,,,0.0,,,,,
Litecoin,Blockchains (L1),83.71,A,0.0,84.84848484848484,Exceptional Growth,38.16222084367246,Overvalued,0.0x
Litentry,Blockchains (L2),,,0.0,22.55829354235372,Stagnant/Declining,45.0,Fairly Valued,
Livepeer,Infrastructure,78.4,BBB,0.0,85.63829787234042,Exceptional Growth,56.60714285714286,Fairly Valued,0.0x
LogX,Derivative exchanges,,,0.0,,,,,
Lombard,Liquid staking,83.72,A,0.0,,,,,
LooksRare,NFT marketplaces,,,0.0,57.81250000000001,Steady Growth,25.55555555555556,Overvalued,0.0x
Loopring,Exchanges (DEX),,,0.0,84.91657397107898,Exceptional Growth,58.33333333333332,Fairly Valued,
Lybra Finance,Stablecoin issuers,,,0.0,63.60119047619047,Steady Growth,60.0,Fairly Valued,
Lynex,Exchanges (DEX),,,0.0,51.12068965517242,Steady Growth,,,
MANTRA,Blockchains (L1),86.22,A,0.0,49.280303030303024,Steady Growth,45.0,Fairly Valued,
MELANIA,,50.0,CC,,,,,,
MELD,Blockchains (L1),,,0.0,0.0,Stagnant/Declining,,,
MOG Coin,,71.29,BB,,,,,,
MOOAR,NFT marketplaces,,,0.0,,,,,
MUX,Derivative exchanges,,,31.49169524545232,54.74643736805068,Steady Growth,64.91071428571429,Fairly Valued,0.0x
MX TOKEN,,77.08,BBB,,,,,,
MYX.Finance,Derivative exchanges,,,0.0,,,,,
M^0,Stablecoin issuers,,,0.0,,,,,
Magic Eden,NFT marketplaces,91.24,AA,0.0,100.0,Exceptional Growth,,,
Magpie XYZ,Asset management,,,0.0,68.83870967741936,Strong Growth,52.0,Fairly Valued,
Manifold.xyz,NFT marketplaces,,,0.0,,,,,
Mansa Finance,Lending,,,0.0,,,,,
Manta,Blockchains (L2),,,36.557992817136686,63.147381515621184,Steady Growth,47.76190476190476,Fairly Valued,0.0x
Mantle LSP,,84.66,A,,,,,,
Mantle Network,Blockchains (L2),86.19,A,0.0,89.472049689441,Exceptional Growth,52.0,Fairly Valued,
Maple Finance,Lending,92.39,AA,54.32192715059285,63.62573099415204,Steady Growth,56.830357142857146,Fairly Valued,0.0x
Marinade Staked SOL,,77.42,BBB,,,,,,
Marinade Staked SOL,Liquid staking,77.42,BBB,0.0,65.11764705882352,Strong Growth,,,
Mars Protocol,Blockchains (L1),,,0.0,3.0303030303030303,Stagnant/Declining,,,
Maverick Protocol,Exchanges (DEX),,,0.0,65.4337837496208,Strong Growth,30.390625000000004,Overvalued,0.0x
Mean Finance,Exchanges (DEX),,,10.694342498423673,,,,,
Mellow Protocol,Infrastructure,,,0.0,,,,,
Membrane Finance,Stablecoin issuers,,,0.0,,,,,
Mendi Finance,Lending,,,0.0,31.052631578947363,Slow Growth,,,
Mento,Stablecoin issuers,,,0.0,,,,,
Mereo,Social,,,0.0,,,,,
Meridian,Stablecoin issuers,,,0.0,23.928571428571427,Stagnant/Declining,45.0,Fairly Valued,
Merkle Trade,Derivative exchanges,,,43.99207475840234,52.532421835729366,Steady Growth,90.87301587301587,Undervalued,0.0x
Merkly,Bridges,,,0.0,,,,,
Merlin Chain,Blockchains (L2),,,0.0,69.42307692307692,Strong Growth,,,
Meso Finance,Lending,,,0.0,,,,,
Meta Pool DAO,Liquid staking,,,0.0,11.76470588235294,Stagnant/Declining,,,
MetaDAO,Infrastructure,,,0.0,24.8936170212766,Stagnant/Declining,,,
MetaMask,Exchanges (DEX),,,0.0,81.81818181818183,Exceptional Growth,,,
Metal,Blockchains (L2),,,0.0,54.435618729096994,Steady Growth,52.0,Fairly Valued,
Metaplex,NFT marketplaces,78.27,BBB,0.0,77.77777777777779,Strong Growth,,,
Metavault.Trade,Derivative exchanges,,,0.0,45.43967116627216,Steady Growth,37.142857142857146,Overvalued,0.0x
Meteor Wallet,Infrastructure,,,0.0,,,,,
Meteora,Exchanges (DEX),,,0.0,,,,,
Metis,Blockchains (L2),,,0.0,66.53846153846155,Strong Growth,,,
Metropolis,Exchanges (DEX),,,0.0,62.721542454579165,Steady Growth,45.0,Fairly Valued,
Micro3,Social,,,0.0,,,,,
Midas,Asset management,,,0.0,,,,,
MimbleWimbleCoin,,60.19,B,,,,,,
Mimic,Infrastructure,,,0.0,,,,,
Mina Protocol,Blockchains (L1),80.76,A,0.0,28.089225589225588,Slow Growth,23.839950372208435,Overvalued,0.0x
Mint Blockchain,Blockchains (L2),,,0.0,,,,,
Mint Club,Infrastructure,,,0.0,,,,,
Mito Finance,Asset management,,,0.0,,,,,
Mocaverse,Exchanges (DEX),85.15,A,27.030231384788603,40.23071721104258,Slow Growth,29.131155303030305,Overvalued,0.0x
Mocaverse,,85.15,A,,,,,,
Mode Network,Blockchains (L2),,,0.0,61.870883907033736,Steady Growth,,,
Mole,Asset management,,,0.0,,,,,
Monerium,Stablecoin issuers,,,0.0,,,,,
Monero,,74.55,BBB,,,,,,
Moola Market,Lending,,,0.0,21.297514619883035,Stagnant/Declining,50.0,Fairly Valued,
Moonbeam,Blockchains (L2),,,0.0,63.06155952061874,Steady Growth,,,
Moonwell,Lending,,,42.359734228324896,75.56390977443608,Strong Growth,58.60576923076924,Fairly Valued,0.0x
Morpho,Lending,93.26,AA,0.0,81.08004385964914,Exceptional Growth,84.07142857142858,Undervalued,0.0x
MorphoAave,,78.98,BBB,,,,,,
Mountain Protocol,Stablecoin issuers,,,0.0,,,,,
Movement Labs,Blockchains (L1),84.71,A,0.0,89.39393939393939,Exceptional Growth,,,
Movement Labs,,84.71,A,,,,,,
MultiversX,Blockchains (L1),83.43,A,30.99086041551533,52.53787878787879,Steady Growth,53.08238636363636,Fairly Valued,0.0x
Mummy Finance,Derivative exchanges,,,10.67366478037054,48.53448275862069,Steady Growth,,,
MyShell,Infrastructure,,,0.0,,,,,
MySwap,Exchanges (DEX),,,0.0,,,,,
Mythos,Blockchains (L2),71.34,BB,0.0,60.21319925718879,Steady Growth,,,
NAVI Protocol,Lending,,,0.0,97.36842105263158,Exceptional Growth,,,
NEAR Protocol,Blockchains (L1),90.96,AA,45.6083744084649,34.00568181818182,Slow Growth,49.32692307692307,Fairly Valued,0.0x
NEM,,61.28,B,,,,,,
NFTX,NFT marketplaces,,,0.0,34.583333333333336,Slow Growth,56.25000000000001,Fairly Valued,0.0x
Nano,,86.57,AA,,,,,,
Navigator,Derivative exchanges,,,0.0,56.82560296846012,Steady Growth,45.0,Fairly Valued,
Nearlend DAO,Lending,,,0.0,,,,,
Neo,,78.3,BBB,,,,,,
Neptune Finance,Lending,,,0.0,,,,,
Nervos Network,,80.63,A,,,,,,
NeuroWeb,Blockchains (L2),,,0.0,33.57607114140215,Slow Growth,,,
Nexo,,78.12,BBB,,,,,,
Nexus Mutual,Insurance,,,34.314439797837025,,,,,
Nibiru,Blockchains (L1),,,0.0,18.181818181818183,Stagnant/Declining,,,
Nile Exchange,Exchanges (DEX),,,0.0,31.83908045977012,Slow Growth,,,
Nillion,Blockchains (L1),,,0.0,81.81818181818183,Exceptional Growth,,,
Ninja Blaze,Gaming,,,0.0,,,,,
NinjaVault,Asset management,,,0.0,,,,,
Nodle,Blockchains (L2),,,0.0,29.314763643037764,Slow Growth,52.0,Fairly Valued,
Nostra,Lending,,,0.0,38.57212475633528,Slow Growth,45.0,Fairly Valued,
Notcoin,,85.92,A,,,,,,
Notional Finance,Lending,,,0.0,17.975146198830412,Stagnant/Declining,22.22222222222222,Overvalued,0.0x
Nouns DAO,Asset management,,,0.0,,,50.0,Fairly Valued,
Numerai,Asset management,,,0.0,88.36754643206255,Exceptional Growth,55.0,Fairly Valued,
OFFICIAL TRUMP,,75.89,BBB,,,,,,
OKB,,92.69,AA,,,,,,
OP Mainnet,Blockchains (L2),,,52.06600120572876,89.78010324775966,Exceptional Growth,48.47619047619048,Fairly Valued,0.0x
ORBLER,,48.62,CC,,,,,,
ORDI(BRC-20),,50.8,CC,,,,,,
OUSG,,67.8,BB,,,,,,
Oasis Network,,80.85,A,,,,,,
Ocean Protocol,Infrastructure,,,0.0,39.72269071094966,Slow Growth,52.0,Fairly Valued,
Octopus Network,Asset management,,,0.0,52.59824046920821,Steady Growth,45.0,Fairly Valued,
Odos,Exchanges (DEX),,,0.0,,,,,
Olympus,,69.93,BB,,,,,,
OmniBTC (OmniSwap),Exchanges (DEX),,,0.0,,,,,
Ondo Finance,Asset management,87.5,AA,0.0,100.0,Exceptional Growth,55.0,Fairly Valued,
Ontology,,83.48,A,,,,,,
Onyx Protocol,,86.3,A,,,,,,
OpenChat,Social,,,31.713175130262343,90.31746031746032,Exceptional Growth,88.8888888888889,Undervalued,
OpenLeverage,Derivative exchanges,,,0.0,48.285714285714285,Steady Growth,45.0,Fairly Valued,
OpenOcean,Exchanges (DEX),,,0.0,49.75973303670746,Steady Growth,50.0,Fairly Valued,
OpenSea,NFT marketplaces,,,28.24235782237205,100.0,Exceptional Growth,,,
Openbook,Exchanges (DEX),,,0.0,,,,,
Optimism,Bridges,92.93,AA,0.0,75.9647495361781,Strong Growth,,,
Optimism Gateway,Bridges,,,0.0,75.9647495361781,Strong Growth,,,
Optopia,Blockchains (L2),,,0.0,22.252747252747252,Stagnant/Declining,45.0,Fairly Valued,
Opus,Stablecoin issuers,,,0.0,40.9375,Slow Growth,,,
Opyn,Derivative exchanges,,,0.0,48.63734326018809,Steady Growth,52.0,Fairly Valued,
Orbiter Finance,Bridges,,,0.0,,,,,
Orca,Exchanges (DEX),75.05,BBB,0.0,93.10344827586206,Exceptional Growth,50.0,Fairly Valued,
Orderly Network,Derivative exchanges,,,0.0,80.76066790352505,Exceptional Growth,55.0,Fairly Valued,
OriginTrail,Stablecoin issuers,70.57,BB,41.770573128435935,71.47321428571428,Strong Growth,54.12202380952381,Fairly Valued,0.0x
OriginTrail,,70.57,BB,,,,,,
Osmosis,Exchanges (DEX),,,0.0,47.34885803851322,Steady Growth,34.375,Overvalued,0.0x
Out,Social,,,0.0,,,,,
Overnight,Stablecoin issuers,,,0.0,,,,,
Overtake,Gaming,,,0.0,,,,,
PACT,Lending,,,0.0,23.0458089668616,Stagnant/Declining,45.0,Fairly Valued,
PAX Gold,,93.61,AA,,,,,,
PRDT,Prediction markets,,,0.0,,,,,
PancakeSwap,Exchanges (DEX),91.84,AA,20.610528563344047,99.14772727272728,Exceptional Growth,81.26623376623378,Undervalued,0.0x
Pangolin,Exchanges (DEX),,,35.80482073590884,56.60579305288705,Steady Growth,35.93560606060606,Overvalued,0.0x
Panora Exchange,Exchanges (DEX),,,0.0,,,,,
ParaSwap,Exchanges (DEX),,,58.46796562852716,44.93453900798868,Slow Growth,80.86174242424242,Undervalued,0.0x
Paradex,Exchanges (DEX),,,0.0,,,,,
Paradise Tycoon,Gaming,,,0.0,,,,,
ParagonsDAO,Gaming,,,0.0,11.328976034858387,Stagnant/Declining,52.5,Fairly Valued,
Parallel,Blockchains (L2),,,0.0,,,,,
Particle,Derivative exchanges,,,0.0,51.73701298701299,Steady Growth,52.0,Fairly Valued,
Paxos,Stablecoin issuers,,,0.0,,,,,
PayPal USD,Stablecoin issuers,89.93,AA,0.0,,,50.0,Fairly Valued,
PayPal USD,,89.93,AA,,,,,,
Pendle,Derivative exchanges,89.37,AA,44.20295270085844,94.4047485765466,Exceptional Growth,51.42857142857143,Fairly Valued,0.0x
Pendulum,Blockchains (L2),,,0.0,22.881456522571504,Stagnant/Declining,,,
Pepe,,86.58,AA,,,,,,
Perpetual Protocol,Derivative exchanges,,,17.289241196842003,70.24213701938456,Strong Growth,37.72916666666667,Overvalued,0.0x
Phala,Blockchains (L2),,,0.0,65.98589998851321,Strong Growth,,,
Pharaoh,Exchanges (DEX),,,11.785450357889486,57.98437658003843,Steady Growth,88.22510822510822,Undervalued,0.0x
Phoenix,Exchanges (DEX),,,0.0,,,,,
Phoenix Bonds,Asset management,,,0.0,,,,,
Photon,Derivative exchanges,,,0.0,,,,,
Pi,Derivative exchanges,62.4,B,,30.003098810056944,Slow Growth,20.9375,Overvalued,0.0x
Pichi Finance,Derivative exchanges,,,0.0,23.60296846011132,Stagnant/Declining,45.0,Fairly Valued,
Pika Protocol,Derivative exchanges,,,,30.003098810056944,Slow Growth,20.9375,Overvalued,0.0x
Pixels,Gaming,,,0.0,64.77124183006535,Steady Growth,45.0,Fairly Valued,
Pixer,,84.83,A,,,,,,
Planet IX,Gaming,,,0.0,61.66666666666666,Steady Growth,55.0,Fairly Valued,
PlayEmber,Gaming,,,0.0,,,,,
Plume Network,Blockchains (L1),87.81,AA,0.0,40.37878787878788,Slow Growth,45.0,Fairly Valued,
Pnut,,70.16,BB,,,,,,
Pocket Network,Infrastructure,,,0.0,39.7872340425532,Slow Growth,48.21428571428572,Fairly Valued,0.0x
Polimec,Blockchains (L2),,,0.0,31.74589347934295,Slow Growth,,,
Polkadex,Blockchains (L2),,,0.0,22.35264735264735,Stagnant/Declining,,,
Polkadot,Blockchains (L1),84.11,A,29.47191562406533,43.33908279220779,Slow Growth,36.82692307692307,Overvalued,0.0x
Polter Finance,Lending,,,0.0,0.0,Stagnant/Declining,,,
Polygon,Blockchains (L1),,,44.83821236047309,72.31752795815297,Strong Growth,67.28750000000001,Fairly Valued,0.0x
Polygon zkEVM,Blockchains (L2),,,0.0,,,,,
Polymarket,Prediction markets,,,0.0,100.0,Exceptional Growth,,,
Polymesh,,81.59,A,,,,,,
Polynomial Protocol,Derivative exchanges,,,0.0,45.94827586206897,Steady Growth,,,
PoolTogether,Asset management,,,0.0,49.80014357282502,Steady Growth,37.26984126984127,Overvalued,0.0x
Pragma,Infrastructure,,,0.0,,,,,
Predict Fun,Prediction markets,,,0.0,,,,,
Premia,Derivative exchanges,,,0.0,43.760056138442856,Slow Growth,40.55555555555556,Fairly Valued,0.0x
Primex Finance,Exchanges (DEX),,,0.0,,,,,
Prisma Finance,Stablecoin issuers,,,0.0,47.63392857142858,Steady Growth,49.99999999999999,Fairly Valued,
Privy,Infrastructure,,,0.0,,,,,
Prometeus,,76.22,BBB,,,,,,
Proof of Play,Blockchains (L3),,,0.0,,,,,
Pudgy Penguins,,83.89,A,,,,,,
Puffer Finance,Liquid staking,,,0.0,,,,,
PumpBTC,Liquid staking,72.64,BBB,0.0,,,,,
Pyth Network,Oracles,88.19,AA,0.0,,,,,
Qtum,,84.24,A,,,,,,
Quant,,77.34,BBB,,,,,,
QuestN,Infrastructure,,,0.0,,,,,
QuickSwap,Exchanges (DEX),,,51.750236701783,80.12711935820948,Exceptional Growth,77.10714285714286,Undervalued,0.0x
RARI Chain,Blockchains (L3),,,0.0,,,,,
REVOX (ex ReadON),Social,,,0.0,,,,,
RSK Smart Bitcoin,,72.3,BBB,,,,,,
RabbitHole,Gaming,,,0.0,,,,,
RabbitSwap,Exchanges (DEX),,,0.0,,,,,
RabbitX,Derivative exchanges,,,0.0,56.0556586270872,Steady Growth,45.0,Fairly Valued,
Radiant Capital,Lending,,,14.170985570883188,51.703216374269005,Steady Growth,30.312500000000004,Overvalued,0.0x
Raft,Stablecoin issuers,,,0.0,14.999999999999998,Stagnant/Declining,48.33333333333333,Fairly Valued,
Rain.fi,Lending,,,0.0,,,,,
Ramses Exchange,Exchanges (DEX),,,23.84486766445177,44.565305094886575,Slow Growth,63.10876623376623,Fairly Valued,0.0x
Rarible,NFT marketplaces,,,36.22271618026297,65.625,Strong Growth,51.89285714285715,Fairly Valued,0.0x
Ravencoin,,73.45,BBB,,,,,,
Raydium,Exchanges (DEX),82.42,A,0.0,94.2528735632184,Exceptional Growth,,,
ReactorFusion,Lending,,,0.0,23.39181286549708,Stagnant/Declining,55.0,Fairly Valued,
Ready Games Network,Gaming,,,0.0,,,,,
RealT,Asset management,,,0.0,46.20967741935484,Steady Growth,52.0,Fairly Valued,
Rebalance,Asset management,,,0.0,,,,,
RedStone,Blockchains (L2),84.93,A,0.0,,,,,
RedStone,Blockchains (L1),84.93,A,32.063232086680955,68.9659090909091,Strong Growth,60.949519230769226,Fairly Valued,0.0x
Ref Finance,Exchanges (DEX),,,0.0,43.362068965517246,Slow Growth,,,
Reflexer,Stablecoin issuers,,,34.77475120969868,48.30357142857142,Steady Growth,60.90476190476192,Fairly Valued,0.0x
Render Network,Bridges,86.28,A,0.0,45.454545454545446,Steady Growth,42.22222222222223,Fairly Valued,0.0x
Render Network,Infrastructure,86.28,A,0.0,91.6969382459782,Exceptional Growth,55.99999999999999,Fairly Valued,
Renzo,Liquid staking,,,0.0,73.07843137254903,Strong Growth,55.0,Fairly Valued,
ResearchHub,Infrastructure,,,0.0,36.23248572911261,Slow Growth,45.0,Fairly Valued,
Reserve Rights,,88.06,AA,,,,,,
Reserve Rights,Stablecoin issuers,88.06,AA,0.0,,,,,
Reservoir,Infrastructure,,,0.0,,,,,
Reservoir.xyz,Stablecoin issuers,,,0.0,,,,,
Resolv,Stablecoin issuers,,,0.0,,,,,
Revert Finance,Infrastructure,,,0.0,,,,,
Reya,Blockchains (L2),,,0.0,,,,,
Rhea Finance,Exchanges (DEX),,,0.0,,,,,
Rhino.fi,Exchanges (DEX),,,0.0,6.896551724137932,Stagnant/Declining,,,
Rho Protocol,Derivative exchanges,,,0.0,,,,,
Ribbon Finance,Asset management,,,40.50989099012236,51.90134714076247,Steady Growth,30.505952380952383,Overvalued,0.0x
Ring Protocol,Exchanges (DEX),,,0.0,9.775305895439375,Stagnant/Declining,45.0,Fairly Valued,
Rings,Stablecoin issuers,,,0.0,,,,,
Ripple USD,,72.86,BBB,,,,,,
Robonomics Network,Blockchains (L2),,,0.0,45.459268991877686,Steady Growth,50.0,Fairly Valued,
Robots.Farm,Gaming,,,0.0,28.73093681917211,Slow Growth,50.0,Fairly Valued,
Rocket Pool ETH,,85.57,A,,,,,,
Rocket Pool ETH,Liquid staking,85.57,A,0.0,52.80024509803921,Steady Growth,45.0,Fairly Valued,
Rollbit Coin,,69.86,BB,,,,,,
Ronin Network,Blockchains (L1),75.52,BBB,19.76231383028733,54.890713861302096,Steady Growth,44.230769230769226,Fairly Valued,0.0x
Rootstock,Blockchains (L2),,,0.0,,,,,
Router Protocol,Bridges,,,0.0,22.5,Stagnant/Declining,45.0,Fairly Valued,
Rubic,Infrastructure,,,0.0,31.52698495070057,Slow Growth,45.0,Fairly Valued,
SKALE,Blockchains (L1),85.98,A,0.0,34.01515151515152,Slow Growth,45.0,Fairly Valued,
SPACE ID,Lending,69.99,BB,0.0,,,,,
SPACE ID,Infrastructure,69.99,BB,0.0,71.54482355993773,Strong Growth,55.0,Fairly Valued,
SPOT Protocol (ex Ampleforth),Stablecoin issuers,,,0.0,31.428571428571423,Slow Growth,45.0,Fairly Valued,
SPX6900,,70.25,BB,,,,,,
STASIS EURO,,83.57,A,,,,,,
STEPN,Gaming,88.08,AA,0.0,,,,,
STON.fi,Exchanges (DEX),,,0.0,32.98850574712644,Slow Growth,,,
SXP,,90.23,AA,,,,,,
SXP,Prediction markets,90.23,AA,0.0,42.1875,Slow Growth,80.44444444444446,Undervalued,0.0x
