Project,Market Sector,Valuation Category
XRP,Blockchains (L1),
Skip Protocol,Infrastructure,
Lagrange,Infrastructure,
RealT,Asset management,Fairly Valued
Navigator,Derivative exchanges,Fairly Valued
Seraph,Gaming,Fairly Valued
Franklin Templeton (FOBXX),Asset management,
Fantasy,Gaming,
dHedge,Asset management,Fairly Valued
Mode Network,Blockchains (L2),
Ellipsis Finance,Exchanges (DEX),
nftperp,Derivative exchanges,
dForce,Lending,Fairly Valued
Safe,Infrastructure,Fairly Valued
Centrifuge,Blockchains (L2),Fairly Valued
Getgems,NFT marketplaces,
Forgotten Runiverse,Gaming,
Flow,Blockchains (L1),
AZERO ID,Infrastructure,
Fragmetric,Liquid staking,
Orbiter Finance,Bridges,
ZKFair,Blockchains (L2),
BasePaint,NFT marketplaces,
White Whale,Exchanges (DEX),
STEPN,Gaming,
