Project,Market Sector,User Growth Score,Growth Category,Explanation
Aperture,Exchanges (DEX),30.454545454545457,Slow Growth,"Project 'Aperture' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 30.45, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 30.45 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Mina Protocol,Blockchains (L1),28.089225589225588,Slow Growth,"Project 'Mina Protocol' in the 'Blockchains (L1)' sector has an overall User Growth Score of 28.09, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 14.81 (Weight: 0.30)
  - Transaction Volume: 41.36 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.25)
  - User Growth: nan (Weight: 0.15)"
Zyberswap,Exchanges (DEX),30.674507870698083,Slow Growth,"Project 'Zyberswap' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 30.67, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 41.36 (Weight: 0.30)
  - Transaction Volume: 18.39 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 47.74 (Weight: 0.10)"
Mummy Finance,Derivative exchanges,48.53448275862069,Steady Growth,"Project 'Mummy Finance' in the 'Derivative exchanges' sector has an overall User Growth Score of 48.53, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 48.53 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Wombat Exchange,Exchanges (DEX),37.895894428152495,Slow Growth,"Project 'Wombat Exchange' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 37.90, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 23.64 (Weight: 0.30)
  - Transaction Volume: 42.50 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 62.26 (Weight: 0.10)"
Aleph Zero EVM,Blockchains (L2),59.28015077115355,Steady Growth,"Project 'Aleph Zero EVM' in the 'Blockchains (L2)' sector has an overall User Growth Score of 59.28, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 63.93 (Weight: 0.30)
  - Transaction Volume: 50.67 (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: 59.57 (Weight: 0.15)
  - User Growth: 66.41 (Weight: 0.10)"
Conflux Core Space,Blockchains (L1),36.4983164983165,Slow Growth,"Project 'Conflux Core Space' in the 'Blockchains (L1)' sector has an overall User Growth Score of 36.50, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 24.81 (Weight: 0.30)
  - Transaction Volume: 48.18 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.25)
  - User Growth: nan (Weight: 0.15)"
Everclear,Bridges,40.05681818181817,Slow Growth,"Project 'Everclear' in the 'Bridges' sector has an overall User Growth Score of 40.06, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 37.27 (Weight: 0.20)
  - Bridge Volume: nan (Weight: 0.50)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 45.62 (Weight: 0.10)"
Zora,NFT marketplaces,80.0,Exceptional Growth,"Project 'Zora' in the 'NFT marketplaces' sector has an overall User Growth Score of 80.00, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 80.00 (Weight: 0.40)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Cap,Derivative exchanges,33.142303355511494,Slow Growth,"Project 'Cap' in the 'Derivative exchanges' sector has an overall User Growth Score of 33.14, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 45.95 (Weight: 0.30)
  - Transaction Volume: 20.20 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 46.48 (Weight: 0.10)"
SolidLizard,Exchanges (DEX),20.327636768126204,Stagnant/Declining,"Project 'SolidLizard' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 20.33, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: 28.18 (Weight: 0.30)
  - Transaction Volume: 13.79 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 22.90 (Weight: 0.10)"
Thales,Derivative exchanges,57.49369242210991,Steady Growth,"Project 'Thales' in the 'Derivative exchanges' sector has an overall User Growth Score of 57.49, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 53.71 (Weight: 0.30)
  - Transaction Volume: 58.83 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 63.52 (Weight: 0.10)"
Viction,Blockchains (L1),43.755411255411246,Slow Growth,"Project 'Viction' in the 'Blockchains (L1)' sector has an overall User Growth Score of 43.76, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 61.94 (Weight: 0.30)
  - Transaction Volume: 23.64 (Weight: 0.30)
  - Transaction Count: 46.07 (Weight: 0.25)
  - User Growth: nan (Weight: 0.15)"
Sound.xyz,NFT marketplaces,20.0,Stagnant/Declining,"Project 'Sound.xyz' in the 'NFT marketplaces' sector has an overall User Growth Score of 20.00, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: 20.00 (Weight: 0.40)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Cryptex,Asset management,59.46396933040078,Steady Growth,"Project 'Cryptex' in the 'Asset management' sector has an overall User Growth Score of 59.46, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 45.62 (Weight: 0.30)
  - Transaction Volume: 75.76 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 35.81 (Weight: 0.10)"
Polynomial Protocol,Derivative exchanges,45.94827586206897,Steady Growth,"Project 'Polynomial Protocol' in the 'Derivative exchanges' sector has an overall User Growth Score of 45.95, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 45.95 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
XAI,Blockchains (L3),85.00000000000001,Exceptional Growth,"Project 'XAI' in the 'Blockchains (L3)' sector has an overall User Growth Score of 85.00, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.35)
  - Transaction Volume: 100.00 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 55.00 (Weight: 0.15)"
DFX Finance,Exchanges (DEX),13.774985674318266,Stagnant/Declining,"Project 'DFX Finance' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 13.77, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: 18.18 (Weight: 0.30)
  - Transaction Volume: 11.49 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 9.68 (Weight: 0.10)"
Volmex,Derivative exchanges,45.94827586206897,Steady Growth,"Project 'Volmex' in the 'Derivative exchanges' sector has an overall User Growth Score of 45.95, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 45.95 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Deri Protocol,Derivative exchanges,45.48431402341501,Steady Growth,"Project 'Deri Protocol' in the 'Derivative exchanges' sector has an overall User Growth Score of 45.48, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 45.95 (Weight: 0.30)
  - Transaction Volume: 54.23 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 9.09 (Weight: 0.10)"
Karura,Blockchains (L1),6.0606060606060606,Stagnant/Declining,"Project 'Karura' in the 'Blockchains (L1)' sector has an overall User Growth Score of 6.06, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 6.06 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.25)
  - User Growth: nan (Weight: 0.15)"
Pika Protocol,Derivative exchanges,30.003098810056944,Slow Growth,"Project 'Pika Protocol' in the 'Derivative exchanges' sector has an overall User Growth Score of 30.00, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 45.95 (Weight: 0.30)
  - Transaction Volume: 20.20 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 21.36 (Weight: 0.10)"
dYdX,Derivative exchanges,84.93506493506493,Exceptional Growth,"Project 'dYdX' in the 'Derivative exchanges' sector has an overall User Growth Score of 84.94, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 85.71 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 81.82 (Weight: 0.10)"
Premia,Derivative exchanges,43.760056138442856,Slow Growth,"Project 'Premia' in the 'Derivative exchanges' sector has an overall User Growth Score of 43.76, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 45.95 (Weight: 0.30)
  - Transaction Volume: 46.58 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 25.91 (Weight: 0.10)"
Lighter,Exchanges (DEX),18.181818181818183,Stagnant/Declining,"Project 'Lighter' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 18.18, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: 18.18 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Osmosis,Exchanges (DEX),47.34885803851322,Steady Growth,"Project 'Osmosis' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 47.35, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 18.18 (Weight: 0.30)
  - Transaction Volume: 69.22 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Aragon,Infrastructure,11.789050337311883,Stagnant/Declining,"Project 'Aragon' in the 'Infrastructure' sector has an overall User Growth Score of 11.79, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 4.26 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: 34.39 (Weight: 0.10)"
Optimism Gateway,Bridges,75.9647495361781,Strong Growth,"Project 'Optimism Gateway' in the 'Bridges' sector has an overall User Growth Score of 75.96, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 51.59 (Weight: 0.20)
  - Bridge Volume: 85.71 (Weight: 0.50)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Pocket Network,Infrastructure,39.787234042553195,Slow Growth,"Project 'Pocket Network' in the 'Infrastructure' sector has an overall User Growth Score of 39.79, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 39.79 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: nan (Weight: 0.10)"
Swarm,Infrastructure,41.41417698371513,Slow Growth,"Project 'Swarm' in the 'Infrastructure' sector has an overall User Growth Score of 41.41, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 21.11 (Weight: 0.30)
  - Transaction Volume: 44.63 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: 92.68 (Weight: 0.10)"
XOXNO,NFT marketplaces,20.0,Stagnant/Declining,"Project 'XOXNO' in the 'NFT marketplaces' sector has an overall User Growth Score of 20.00, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: 20.00 (Weight: 0.40)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
IDEX,Exchanges (DEX),70.77011494252874,Strong Growth,"Project 'IDEX' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 70.77, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 74.71 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 55.00 (Weight: 0.10)"
TrueFi,Lending,43.94554093567252,Slow Growth,"Project 'TrueFi' in the 'Lending' sector has an overall User Growth Score of 43.95, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 10.53 (Weight: 0.40)
  - Transaction Volume: 81.58 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 64.72 (Weight: 0.10)"
Toucan Protocol,Infrastructure,32.22222222222222,Slow Growth,"Project 'Toucan Protocol' in the 'Infrastructure' sector has an overall User Growth Score of 32.22, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 32.22 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: nan (Weight: 0.10)"
Opyn,Derivative exchanges,48.63734326018809,Steady Growth,"Project 'Opyn' in the 'Derivative exchanges' sector has an overall User Growth Score of 48.64, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 45.95 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 56.70 (Weight: 0.10)"
Alongside,Asset management,,,"Project 'Alongside' in the 'Asset management' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Ren,Bridges,45.454545454545446,Steady Growth,"Project 'Ren' in the 'Bridges' sector has an overall User Growth Score of 45.45, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 18.18 (Weight: 0.20)
  - Bridge Volume: nan (Weight: 0.50)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 100.00 (Weight: 0.10)"
Notional Finance,Lending,17.975146198830412,Stagnant/Declining,"Project 'Notional Finance' in the 'Lending' sector has an overall User Growth Score of 17.98, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: 10.53 (Weight: 0.40)
  - Transaction Volume: 23.16 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 32.22 (Weight: 0.10)"
CoW Protocol,Exchanges (DEX),69.21655901338188,Strong Growth,"Project 'CoW Protocol' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 69.22, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 56.70 (Weight: 0.30)
  - Transaction Volume: 87.36 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 34.19 (Weight: 0.10)"
PoolTogether,Asset management,49.80014357282502,Steady Growth,"Project 'PoolTogether' in the 'Asset management' sector has an overall User Growth Score of 49.80, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 64.38 (Weight: 0.30)
  - Transaction Volume: 34.24 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 68.31 (Weight: 0.10)"
Across,Bridges,42.44724025974026,Slow Growth,"Project 'Across' in the 'Bridges' sector has an overall User Growth Score of 42.45, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 18.18 (Weight: 0.20)
  - Bridge Volume: 49.64 (Weight: 0.50)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 55.00 (Weight: 0.10)"
LooksRare,NFT marketplaces,57.81250000000001,Steady Growth,"Project 'LooksRare' in the 'NFT marketplaces' sector has an overall User Growth Score of 57.81, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 40.00 (Weight: 0.40)
  - Transaction Volume: 67.50 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 100.00 (Weight: 0.10)"
Metavault.Trade,Derivative exchanges,45.439671166272156,Steady Growth,"Project 'Metavault.Trade' in the 'Derivative exchanges' sector has an overall User Growth Score of 45.44, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 45.95 (Weight: 0.30)
  - Transaction Volume: 43.52 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 51.59 (Weight: 0.10)"
zkSync Era Bridge,Bridges,59.07235621521336,Steady Growth,"Project 'zkSync Era Bridge' in the 'Bridges' sector has an overall User Growth Score of 59.07, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 28.18 (Weight: 0.20)
  - Bridge Volume: 71.43 (Weight: 0.50)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Lens Protocol,Social,0.0,Stagnant/Declining,"Project 'Lens Protocol' in the 'Social' sector has an overall User Growth Score of 0.00, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: 0.00 (Weight: 0.60)
  - Transaction Volume: nan (Weight: 0.10)
  - Transaction Count: nan (Weight: 0.10)
  - User Growth: nan (Weight: 0.20)"
Hashflow,Exchanges (DEX),55.768288418107666,Steady Growth,"Project 'Hashflow' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 55.77, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 18.18 (Weight: 0.30)
  - Transaction Volume: 85.06 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 51.37 (Weight: 0.10)"
Voltz,Derivative exchanges,45.94827586206897,Steady Growth,"Project 'Voltz' in the 'Derivative exchanges' sector has an overall User Growth Score of 45.95, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 45.95 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
KAP Games,Gaming,33.88888888888888,Slow Growth,"Project 'KAP Games' in the 'Gaming' sector has an overall User Growth Score of 33.89, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.50)
  - Transaction Volume: 50.83 (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 0.00 (Weight: 0.10)"
0x,Exchanges (DEX),64.69035460275727,Steady Growth,"Project '0x' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 64.69, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 18.18 (Weight: 0.30)
  - Transaction Volume: 91.95 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 95.16 (Weight: 0.10)"
Dopex,Derivative exchanges,41.589369682042104,Slow Growth,"Project 'Dopex' in the 'Derivative exchanges' sector has an overall User Growth Score of 41.59, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 45.95 (Weight: 0.30)
  - Transaction Volume: 24.29 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 97.73 (Weight: 0.10)"
BetSwirl,Prediction markets,31.718750000000004,Slow Growth,"Project 'BetSwirl' in the 'Prediction markets' sector has an overall User Growth Score of 31.72, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 42.50 (Weight: 0.35)
  - Transaction Volume: 35.00 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 0.00 (Weight: 0.15)"
Arbitrum Bridge,Bridges,97.40259740259742,Exceptional Growth,"Project 'Arbitrum Bridge' in the 'Bridges' sector has an overall User Growth Score of 97.40, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 90.91 (Weight: 0.20)
  - Bridge Volume: 100.00 (Weight: 0.50)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Buffer Finance,Derivative exchanges,35.486053355511494,Slow Growth,"Project 'Buffer Finance' in the 'Derivative exchanges' sector has an overall User Growth Score of 35.49, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 45.95 (Weight: 0.30)
  - Transaction Volume: 20.20 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 65.23 (Weight: 0.10)"
xExchange,Exchanges (DEX),41.63793103448276,Slow Growth,"Project 'xExchange' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 41.64, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 41.64 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Polymarket,Prediction markets,100.0,Exceptional Growth,"Project 'Polymarket' in the 'Prediction markets' sector has an overall User Growth Score of 100.00, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 100.00 (Weight: 0.35)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.15)"
Bounce Finance,Infrastructure,53.94864951689031,Steady Growth,"Project 'Bounce Finance' in the 'Infrastructure' sector has an overall User Growth Score of 53.95, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 21.11 (Weight: 0.30)
  - Transaction Volume: 95.74 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: 27.07 (Weight: 0.10)"
SX,Prediction markets,42.1875,Slow Growth,"Project 'SX' in the 'Prediction markets' sector has an overall User Growth Score of 42.19, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 67.50 (Weight: 0.35)
  - Transaction Volume: 0.00 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 67.50 (Weight: 0.15)"
Axie Infinity,Gaming,94.11764705882351,Exceptional Growth,"Project 'Axie Infinity' in the 'Gaming' sector has an overall User Growth Score of 94.12, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.50)
  - Transaction Volume: 100.00 (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 82.35 (Weight: 0.10)"
Vesta Finance,Stablecoin issuers,43.660714285714285,Slow Growth,"Project 'Vesta Finance' in the 'Stablecoin issuers' sector has an overall User Growth Score of 43.66, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 49.64 (Weight: 0.20)
  - Transaction Volume: 12.50 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 100.00 (Weight: 0.20)"
Rhino.fi,Exchanges (DEX),6.8965517241379315,Stagnant/Declining,"Project 'Rhino.fi' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 6.90, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 6.90 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
zkLend,Lending,41.621588693957115,Slow Growth,"Project 'zkLend' in the 'Lending' sector has an overall User Growth Score of 41.62, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.40)
  - Transaction Volume: 53.03 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 7.41 (Weight: 0.10)"
PayPal,Stablecoin issuers,,,"Project 'PayPal' in the 'Stablecoin issuers' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.20)"
ApeX Protocol,Derivative exchanges,77.65862708719851,Strong Growth,"Project 'ApeX Protocol' in the 'Derivative exchanges' sector has an overall User Growth Score of 77.66, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 87.76 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 37.27 (Weight: 0.10)"
LI.FI,Infrastructure,,,"Project 'LI.FI' in the 'Infrastructure' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: nan (Weight: 0.10)"
peaq,Blockchains (L1),29.149477973007382,Slow Growth,"Project 'peaq' in the 'Blockchains (L1)' sector has an overall User Growth Score of 29.15, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 21.11 (Weight: 0.30)
  - Transaction Volume: 37.27 (Weight: 0.30)
  - Transaction Count: 29.05 (Weight: 0.25)
  - User Growth: nan (Weight: 0.15)"
Mereo,Social,,,"Project 'Mereo' in the 'Social' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.60)
  - Transaction Volume: nan (Weight: 0.10)
  - Transaction Count: nan (Weight: 0.10)
  - User Growth: nan (Weight: 0.20)"
DeGate,Exchanges (DEX),32.55320726733408,Slow Growth,"Project 'DeGate' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 32.55, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 39.89 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 3.23 (Weight: 0.10)"
Ocean Protocol,Infrastructure,39.72269071094966,Slow Growth,"Project 'Ocean Protocol' in the 'Infrastructure' sector has an overall User Growth Score of 39.72, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 31.28 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: 65.06 (Weight: 0.10)"
WELL3,Social,56.388888888888886,Steady Growth,"Project 'WELL3' in the 'Social' sector has an overall User Growth Score of 56.39, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.60)
  - Transaction Volume: 59.17 (Weight: 0.10)
  - Transaction Count: nan (Weight: 0.10)
  - User Growth: 55.00 (Weight: 0.20)"
VibrantX,Asset management,,,"Project 'VibrantX' in the 'Asset management' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
xNINJA,Social,0.0,Stagnant/Declining,"Project 'xNINJA' in the 'Social' sector has an overall User Growth Score of 0.00, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.60)
  - Transaction Volume: 0.00 (Weight: 0.10)
  - Transaction Count: nan (Weight: 0.10)
  - User Growth: nan (Weight: 0.20)"
Berachain,Blockchains (L1),53.580627705627705,Steady Growth,"Project 'Berachain' in the 'Blockchains (L1)' sector has an overall User Growth Score of 53.58, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 48.06 (Weight: 0.30)
  - Transaction Volume: 77.27 (Weight: 0.30)
  - Transaction Count: 63.93 (Weight: 0.25)
  - User Growth: 0.00 (Weight: 0.15)"
